hunt_code,old_hunt_name,new_hunt_name,species,weapon
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
EB3193,Late - San Juan Bull Elk,San Juan,Elk,Archery
