hunt_code,hunt_name_2025,hunt_name_2026,2025_species,2025_sex_type,2025_weapon,2025_hunt_type,2025_draw_design,2026_species,2026_sex_type,2026_weapon,2026_hunt_type,2026_draw_design
EB3188,Late - Panguitch Lake,Panguitch Lake,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3189,Mid -Panguitch Lake,Panguitch Lake,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3190,Late - Boulder,Boulder,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3191,Mid -Boulder,Boulder,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3192,Late - Fishlake/thousand Lakes,Fishlake/Thousand Lakes,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3193,Late - San Juan Bull Elk,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3194,Mid -San Juan Bull Elk,San Juan Bull Elk,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3195,Late - Diamond Mtn,Diamond Mtn,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3196,Late - Diamond Mtn,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3197,Late,"Southwest Desert, South",Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3198,"Mid -Southwest Desert, South -Any Legal Weapon","Southwest Desert, South",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3199,Late - Wasatch Mtns,Wasatch Mtns,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3208,Late -Morgan-south Rich,Morgan-South Rich,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3210,"Early -North Slope, Three Corners","North Slope, Three Corners",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3500,Any Legal Weapon,Alton,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3505,Cwmu Bull Elk -Boobe Hole -Any Legal Weapon,Boobe Hole,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3524,Any Legal Weapon,Hardscrabble,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3540,Old Woman Plateau -Any Legal Weapon,Old Woman Plateau,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3543,Preston Nutter Ranch -Any Legal Weapon,Preston Nutter Ranch,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3546,Roan Cliffs -Any Legal Weapon,Roan Cliffs,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3551,Sj Ranch -Any Legal Weapon,SJ Ranch,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
GO6817,"La Sal, La Sal Mtns",La Sal Mtns,Mountain Goat,Either Sex,Any Legal Weapon,Once-in-a-lifetime,Max/Weighted Split,Mountain Goat,Either Sex,,Once-in-a-Lifetime,Max/Weighted Split
PB5019,"West Desert, Riverbed -Archery","West Desert, Riverbed",Pronghorn,Buck,Archery,Limited Entry,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Max/Weighted Split
PB5030,"Box Elder, Snowville -Any Legal Weapon","Box Elder, Snowville",Pronghorn,Buck,Any Legal Weapon,Limited Entry,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Max/Weighted Split
PB5053,"Nine Mile, Range Creek -Archery","Nine Mile, Range Creek",Pronghorn,Buck,Archery,Limited Entry,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Unlimited
PB5060,Muzzleloader,Diamond Mtn/Bonanza,Pronghorn,Buck,Muzzleloader,Limited Entry,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Max/Weighted Split
PB5305,Park Valley -Any Legal Weapon,Park Valley,Pronghorn,Buck,Any Legal Weapon,CWMU,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Unlimited
PB5306,Rabbit Creek -Any Legal Weapon,Rabbit Creek,Pronghorn,Buck,Any Legal Weapon,CWMU,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Unlimited
PB5315,Zane -Any Legal Weapon,Zane,Pronghorn,Buck,Any Legal Weapon,CWMU,Max/Weighted Split,Pronghorn,Buck,,Limited Entry,Unlimited
