xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
214,213,MB1000,1,1,1,single_code_mapped,5133,29;117;138;276;289;69;79;609;611;613;452;743,mapped,processed_data/boundaries/MB1000.geojson,,Moose,Bull,Statewide,,RMEF,1
215,214,GO6800|GO6801|GO6822,3,3,3,multi_candidate_all_mapped,628,,mapped,processed_data/boundaries/GO6800.geojson|processed_data/boundaries/GO6801.geojson|processed_data/boundaries/GO6822.geojson,,Mountain Goat,Either Sex,Beaver (early),"Any Legal Weapon, early",UWSF,1
216,215,GO6808,1,1,1,single_code_mapped,148,,mapped,processed_data/boundaries/GO6808.geojson,,Mountain Goat,Either Sex,High Uintas West,Any Legal Weapon,RMEF,1
217,216,GO6817,1,1,1,single_code_mapped,617,,mapped,processed_data/boundaries/GO6817.geojson,,Mountain Goat,Either Sex,"La Sal, La Sal Mtns",Any Legal Weapon,SFW,1
218,217,GO6803|GO6821,2,2,2,multi_candidate_all_mapped,616,,mapped,processed_data/boundaries/GO6803.geojson|processed_data/boundaries/GO6821.geojson,,Mountain Goat,Either Sex,Nebo,Any Legal Weapon,UWSF,1
219,218,GO6803|GO6821,2,2,2,multi_candidate_all_mapped,616,,mapped,processed_data/boundaries/GO6803.geojson|processed_data/boundaries/GO6821.geojson,,Mountain Goat,Either Sex,Nebo,Archery,UAA,1
220,219,GO6820,1,1,1,single_code_mapped,200,,mapped,processed_data/boundaries/GO6820.geojson,,Mountain Goat,Either Sex,"Wasatch Mtns, Timpanogos",Any Legal Weapon,SCI,1
221,220,GO1000,1,1,1,single_code_mapped,5131,145;146;147;148;157;616;617;628;200;225;231;233;102;630,mapped,processed_data/boundaries/GO1000.geojson,,Mountain Goat,Either Sex,Statewide,,SFW,1
222,221,PB5000|PB5025,2,2,2,multi_candidate_all_mapped,628,,mapped,processed_data/boundaries/PB5000.geojson|processed_data/boundaries/PB5025.geojson,,Pronghorn,Buck,Beaver,Hunter's Choice,UAA,1
223,222,PB5000|PB5025,2,2,2,multi_candidate_all_mapped,628,,mapped,processed_data/boundaries/PB5000.geojson|processed_data/boundaries/PB5025.geojson,,Pronghorn,Buck,Beaver,Hunter's Choice,SFW,1
224,223,PB5001|PB5026,2,2,2,multi_candidate_all_mapped,667,,mapped,processed_data/boundaries/PB5001.geojson|processed_data/boundaries/PB5026.geojson,,Pronghorn,Buck,"Book Cliffs, Bitter Creek",Any Legal Weapon,DSC,1
225,224,PB5001|PB5026,2,2,2,multi_candidate_all_mapped,667,,mapped,processed_data/boundaries/PB5001.geojson|processed_data/boundaries/PB5026.geojson,,Pronghorn,Buck,"Book Cliffs, Bitter Creek",Any Legal Weapon,SFW,1
226,225,PB5001|PB5026,2,2,2,multi_candidate_all_mapped,667,,mapped,processed_data/boundaries/PB5001.geojson|processed_data/boundaries/PB5026.geojson,,Pronghorn,Buck,"Book Cliffs, Bitter Creek",Any Legal Weapon,MDF,1
227,226,PB5002|PB5027,2,2,2,multi_candidate_all_mapped,15,,mapped,processed_data/boundaries/PB5002.geojson|processed_data/boundaries/PB5027.geojson,,Pronghorn,Buck,"Book Cliffs, South",Any Legal Weapon,NWTF,1
