hunt_code,source_hunt_name,source_species,source_sex_type,source_hunt_type,source_weapon,source_season,source_permits_res,source_permits_nr,source_permits_total,canonical_match_count,canonical_permit_sets,status,source_file
DB1121,Antelope Island,Deer,Buck,Management Buck Deer,Any Legal Weapon,"Nov 16 2026 - Nov 20, 2026",2,0,2,0,,missing_from_canonical,dwr_huntboundary_deer_buck.json
DB1200,Alton - Premium Buck CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact operator for 2026 season dates,3,0,3,67,3|0|3,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1201,Alton - Management Buck CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1202,Antelope Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1203,Avintaquin Canyon CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1204,Bally Watts CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1205,Bar J Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1206,Bear Mountain CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1207,Bear Springs CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1208,Blackhawk CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,1|0|1,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1209,Blind Springs CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1211,Blue Spring Hills CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1212,Bluebell CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1213,Boobe Hole CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1215,Buckhorn Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1216,Castle Valley Outdoors CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1217,Causey Spring CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1219,Chimney Rock CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1222,Coldwater Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1224,Cotton Thomas CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1227,Deer Haven CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1228,Deseret CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,13,0,13,67,13|0|13,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1229,Dilly Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1230,Double R Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1231,Dove Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1232,Durst Mountain CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1233,East Fork Chalk Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,4,0,4,67,4|0|4,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1234,East Zion CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1236,Engineer Springs CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1237,Ensign Ranches CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,3|0|3,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1238,Folley Ridge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,3|0|3,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1239,Fort Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1240,George Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1241,Golden Spike CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1242,Grass Valley/Clark Canyon CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,14,0,14,67,14|0|14,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1243,Grazing Pasture CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1244,Green Canyon CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1245,Guildersleeve CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1246,Hardscrabble CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1248,Heaston East CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1249,Hiawatha CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1250,Indian Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1251,Indian Head CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1252,Ingham Peak CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,5|0|5,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1253,Circle E Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1255,Johnson Mountain Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1256,Junction Valley CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,5,0,5,67,6|0|6,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1258,Little Red Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1259,Tunnel Hollow CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1260,Middle Ridge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1261,Minnie Maud Ridge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,5,0,5,67,5|0|5,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1263,Moon Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1264,Mountain Meadow CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1265,Mountain Top CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1266,Mt Carmel CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,3|0|3,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1269,North Promontory CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1270,Nucor West CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1271,Oak Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,2|0|2,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1272,Old Woman Plateau CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,3|0|3,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1273,Park Valley Hereford CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,6,0,6,67,6|0|6,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1274,Patmos Ridge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1275,Pine Canyon CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1277,Pocatello Valley CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1279,Preston Nutter Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1280,Promontory Point CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1281,Rattlesnake Pass CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1282,Redd Ranches CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1283,Roan Cliffs CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1285,Sand Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1286,Pisgah Mountain CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1287,Scofield Canyons CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1288,Scofield West CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1289,Sharp Mountain CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1290,Skull Crack CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1291,Skull Valley South CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1292,Soldier Summit CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1293,South Canyon CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1294,Spring Creek Acres CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1295,Spring Creek/Dodge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,6,0,6,67,6|0|6,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1298,Strawberry Ridge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1299,Summit Point CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,3,0,3,67,3|0|3,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1300,Thatcher Mountain CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1301,Three C CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1303,North Peaks CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1304,Two Bear CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1305,Wallsburg CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1306,Washakie CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1308,West Hills CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1309,West Willow Creek Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,5,0,5,67,5|0|5,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1310,White's Valley CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,2|0|2,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1312,Woodruff Creek South CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1317,Jacob's Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,1|0|1,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1322,Pahvant Ensign CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1323,Rock House CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1325,Double Cone CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1326,Rosette CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1327,Mountain Sky Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1328,Clear Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1330,Iron Spring CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1331,Raft River CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1332,West Ridge CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,5,0,5,67,5|0|5,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1333,5S CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1334,Alton - Cactus Buck CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1335,Big Piney Ranch CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1336,First Light CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1337,Little Pole Canyon CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1341,Dry Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1342,Faust Valley CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1347,The Rose of Snowville CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1348,Kimberly CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact CWMU Operator for 2026 season dates,1,0,1,67,1|0|1,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1349,Weber Florence Creek/Stillman Creek CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,9,0,9,67,9|0|9,matched_permit_split,dwr_huntboundary_deer_buck.json
DB1351,The Dirty Dozen CWMU,Deer,Buck,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,2,0,2,0,,missing_from_canonical,dwr_huntboundary_deer_buck.json
DB1501,Box Elder,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,1040,132,422|35|457,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1502,Cache,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,1160,132,876|42|918,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1503,Manti/San Rafael,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,1800,132,1106|116|1222,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1504,Nebo,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,1060,132,695|31|726,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1506,Fillmore,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,460,132,296|34|330,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1508,Kamas,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,200,132,189|11|200,matched_total_only_or_split_diff,dwr_huntboundary_deer_buck.json
DB1509,La Sal Mtns,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,360,132,227|27|254,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1510,Monroe,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,220,132,159|22|181,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1511,Mt Dutton,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,80,90,57|7|64,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1512,Nine Mile,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,280,132,167|13|180,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1513,North Slope,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,620,132,473|30|503,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1514,Ogden,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,540,132,384|7|391,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1516,Panguitch Lake,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,500,132,336|39|375,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1517,Pine Valley,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,600,132,408|48|456,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1518,Boulder/Kaiparowits,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,720,132,379|41|420,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1519,Fishlake,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,260,132,177|19|196,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1521,"San Juan, Abajo Mtns",Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,560,132,421|49|470,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1522,Vernal/Bonanza,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,420,132,276|25|301,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1523,Yellowstone,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,280,132,194|21|215,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1524,Southwest Desert,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,100,132,64|7|71,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1525,"Wasatch Mtns, East",Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,1300,132,809|69|878,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1526,"Wasatch Mtns, West",Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,1580,132,1080|68|1148,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1529,Zion,Deer,Buck,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,675,132,397|45|442,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1531,Box Elder,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,2080,132,1797|165|1962,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1533,Manti/San Rafael,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,5400,132,4187|361|4548,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1534,Nebo,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,3180,132,2462|141|2603,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1536,Fillmore,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,920,132,796|70|866,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1538,Kamas,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,400,132,421|23|444,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1539,La Sal Mtns,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,1080,132,864|93|957,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1540,Monroe,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,660,132,541|57|598,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1541,Mt Dutton,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,240,132,203|19|222,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1542,Nine Mile,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,560,132,441|30|471,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1543,North Slope,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,1240,132,979|61|1040,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1544,Ogden,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,1620,132,1302|47|1349,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1546,Panguitch Lake,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,1000,132,750|78|828,permit_mismatch,dwr_huntboundary_deer_buck.json
DB1547,Pine Valley,Deer,Buck,General Season,Any Legal Weapon (Late),Oct 17 2026 - Oct 25 2026,,,1200,132,1040|96|1136,permit_mismatch,dwr_huntboundary_deer_buck.json
