workbook,sheet,row,hunt_code,conservation_code,backup_path
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,98,DB1048,C_DB1048,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,99,DB1008,C_DB1008,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,100,DB1000,C_DB1000,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,101,DS1002,C_DS1002,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,102,DS1003,C_DS1003,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,103,DS1006,C_DS1006,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,104,DB1008,C_DB1008,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,105,DS6605,C_DS6605,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,106,DS1004,C_DS1004,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,107,DS1007,C_DS1007,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,108,EB3000,C_EB3000,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
