hunt_code,boundary_id,member_boundary_ids,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,source_boundary_ids,database_hunt_name,database_species,database_weapon,database_hunt_type,in_display_boundary_index,in_database,in_hunt_code_boundary_map,in_boundary_manifest,split_hunt_json_exists,geojson_exists
EB3025,685,,mapped,processed_data/boundaries/EB3025.geojson,,,,668,"Fillmore, Oak Creek",Elk,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3031,682,,mapped,processed_data/boundaries/EB3031.geojson,,,,668,"Fillmore, Oak Creek",Elk,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3032,33,,mapped,processed_data/boundaries/EB3032.geojson,,,,668,"Fillmore, Oak Creek",Elk,Archery,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3033,33,,mapped,processed_data/boundaries/EB3033.geojson,,,,85,"Fillmore, Oak Creek LE",Elk,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3036,41,,mapped,processed_data/boundaries/EB3036.geojson,,,,85,"Fillmore, Oak Creek LE",Elk,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3037,41,,mapped,processed_data/boundaries/EB3037.geojson,,,,85,"Fillmore, Oak Creek LE",Elk,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3038,51,,mapped,processed_data/boundaries/EB3038.geojson,,,,85,"Fillmore, Oak Creek LE",Elk,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3039,51,,mapped,processed_data/boundaries/EB3039.geojson,,,,81,"Fillmore, Oak Creek South",Elk,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3042,88,,mapped,processed_data/boundaries/EB3042.geojson,,,,81,"Fillmore, Oak Creek South",Elk,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3043,88,,mapped,processed_data/boundaries/EB3043.geojson,,,,81,"Fillmore, Oak Creek South",Elk,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3045,617,,mapped,processed_data/boundaries/EB3045.geojson,,,,88,"Fillmore, Pahvant",Elk,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3046,617,,mapped,processed_data/boundaries/EB3046.geojson,,,,88,"Fillmore, Pahvant",Elk,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3047,629,,mapped,processed_data/boundaries/EB3047.geojson,,,,88,"Fillmore, Pahvant",Elk,Late Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3048,629,,mapped,processed_data/boundaries/EB3048.geojson,,,,88,"Fillmore, Pahvant",Elk,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3049,630,,mapped,processed_data/boundaries/EB3049.geojson,,,,88,"Fillmore, Pahvant",Elk,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3050,630,,mapped,processed_data/boundaries/EB3050.geojson,,,,88,"Fillmore, Pahvant",Elk,Late Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3056,634,,mapped,processed_data/boundaries/EB3056.geojson,,,,88,"Fillmore, Pahvant",Elk,Mid Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3057,634,,mapped,processed_data/boundaries/EB3057.geojson,,,,175;698;699,Fishlake (Conservation),Elk,Any Legal Weapon,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
