source_file,page_number,hunt_code,hunt_name,year,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,17,3,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,16,4,4,0,4,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,16,4,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,15,10,4,1,5,1 in 2.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,15,4,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,14,2,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,14,5,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,13,9,0,2,2,1 in 4.5
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,13,7,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,12,7,0,1,1,1 in 7.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,12,3,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,11,11,0,2,2,1 in 5.5
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,11,7,0,1,1,1 in 7.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,10,8,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,10,9,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,9,23,0,1,1,1 in 23.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,9,1,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,8,26,0,2,2,1 in 13.0
