excel_row,No.,Species,Area,Condition,Organization,HUNT CODE,expected_prefixes,HUNT NAME,SEX,WEAPON,BOUNDARY ID,MAP GEOJSON,readiness_flags
291,290,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",Any Legal Weapon,UWSF,PB1000,RS,,,,5134,processed_data/boundaries/PB1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
292,291,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns (early)",Any Legal Weapon,UWSF,RS0001,RS,Statewide,Ram,,5135,processed_data/boundaries/RS0001.geojson,blank_weapon
293,292,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns (late)",Any Legal Weapon,UWSF,RS0001,RS,,,,5135,processed_data/boundaries/RS0001.geojson,blank_hunt_name;blank_weapon;blank_sex
294,293,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek (late)",Any Legal Weapon,UWSF,RS0001,RS,,,,5135,processed_data/boundaries/RS0001.geojson,blank_hunt_name;blank_weapon;blank_sex
295,294,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon",Any Legal Weapon,SFW,RS0001,RS,,,,5135,processed_data/boundaries/RS0001.geojson,blank_hunt_name;blank_weapon;blank_sex
296,295,Rocky Mountain Bighorn Sheep,Statewide,,SFW,RS0001,RS,,,,5135,processed_data/boundaries/RS0001.geojson,blank_hunt_name;blank_weapon;blank_sex
297,296,Turkey,Central Area,Multiseason,NWTF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
298,297,Turkey,Central Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
299,298,Turkey,Central Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
300,299,Turkey,Central Area,Multiseason,NWTF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
301,300,Turkey,Central Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
302,301,Turkey,Central Area,Multiseason,MDF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
303,302,Turkey,Central Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
304,303,Turkey,Central Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
305,304,Turkey,Northeastern Area,Multiseason,WCF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
306,305,Turkey,Northeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
307,306,Turkey,Northeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
308,307,Turkey,Northeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
309,308,Turkey,Northeastern Area,Multiseason,NWTF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
310,309,Turkey,Northeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
311,310,Turkey,Northeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
312,311,Turkey,Northeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
313,312,Turkey,Northern Area,Multiseason,DSC,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
314,313,Turkey,Northern Area,Multiseason,UHA,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
315,314,Turkey,Northern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
316,315,Turkey,Northern Area,Multiseason,WCF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
317,316,Turkey,Northern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
318,317,Turkey,Northern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
319,318,Turkey,Northern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
320,319,Turkey,Northern Area,Multiseason,NWTF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
321,320,Turkey,Southeastern Area,Multiseason,NWTF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
322,321,Turkey,Southeastern Area,Multiseason,NWTF,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
323,322,Turkey,Southeastern Area,Multiseason,SFW,RS0001,TK,,,,5135,processed_data/boundaries/RS0001.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
332,331,Turkey,Southern Area,Multiseason,SFW,TK0001,TK,Statewide,Bearded,,454,processed_data/boundaries/TK0001.geojson,blank_weapon
333,332,Turkey,Southern Area,Multiseason,SFW,TK0001,TK,,,,454,processed_data/boundaries/TK0001.geojson,blank_hunt_name;blank_weapon;blank_sex
334,333,Turkey,Southern Area,Multiseason,NWTF,TK0001,TK,,,,454,processed_data/boundaries/TK0001.geojson,blank_hunt_name;blank_weapon;blank_sex
335,334,Turkey,Southern Area,Multiseason,NWTF,TK0001,TK,,,,454,processed_data/boundaries/TK0001.geojson,blank_hunt_name;blank_weapon;blank_sex
336,335,Turkey,Southern Area,Multiseason,SFW,TK0001,TK,,,,454,processed_data/boundaries/TK0001.geojson,blank_hunt_name;blank_weapon;blank_sex
337,336,Turkey,Statewide,,SFW,TK0001,TK,,,,454,processed_data/boundaries/TK0001.geojson,blank_hunt_name;blank_weapon;blank_sex
