hunt_code,issue,value,sample_hunt_name
MB6240,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Chimney Rock
MB6251,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Hardscrabble
MB6254,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Sj Ranch
MB6256,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Woodruff Creek South
MB6257,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Ingham Peak
MB6258,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Jacob's Creek
MB6259,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Royal Ivory Outfitters
MB6262,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Junction Valley
MB6266,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Weber Florence Creek/stillman Creek
BI6500,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Antelope Island
BI6503,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
BI6504,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
BI6505,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
BI6506,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
BI6509,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
BI6516,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
BI6528,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek/south"
BI6529,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek/south"
BI6531,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek/south"
BI6532,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek"
BI6534,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek"
BI6535,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek"
BI6536,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek"
BI6537,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek/south"
DS6600,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
DS6601,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Kaiparowits, East"
DS6603,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Kaiparowits, West"
DS6604,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"La Sal, Potash/south Cisco"
DS6606,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Lockhart"
DS6607,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, South"
DS6608,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Rafael, Dirty Devil"
DS6609,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Rafael, North"
DS6610,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Rafael, South"
DS6611,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Zion
DS6620,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Pine Valley, Virgin River"
DS6621,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Pine Valley, Beaver Dam"
DS6622,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, North"
DS6623,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, San Juan River"
DS6624,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Rafael, Dirty Devil"
DS6625,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mineral Mtns
DS6626,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Escalante, East"
DS6627,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Escalante, West"
GO6800,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
GO6801,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
GO6803,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
GO6804,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,High Uintas Kamas
GO6805,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,High Uintas Central
GO6806,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,High Uintas East
GO6807,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,High Uintas Leidy Peak
GO6808,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,High Uintas West
GO6810,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Ogden, Willard Peak"
GO6813,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Provo Peak"
GO6814,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Dutton
GO6817,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal Mtns
GO6818,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Box Elder Peak"
GO6819,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Lone Peak"
GO6820,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Timpanogos"
GO6821,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
GO6822,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
RS6700,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Antelope Island
RS6701,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, South"
RS6703,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Box Elder, Newfoundland Mtn"
RS6704,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Box Elder, Newfoundland Mtn"
RS6708,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Three Corners"
RS6709,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Summit/west Daggett"
RS6712,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Nine Mile, Gray Canyon"
RS6713,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Nine Mile, Jack Creek"
RS6720,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore , Oak Creek"
RS6721,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Oquirrh-stansbury, West"
RS6722,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Box Elder, Newfoundland Mtn"
RS6724,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, West"
RS6725,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
RS6726,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore , Oak Creek"
RS6727,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore , Oak Creek"
DB0007,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Buck Deer
EB1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman
PB1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Buck Pronghorn
MB1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Bull Moose
BI1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Bison
RS0001,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Rocky Mountain Bighorn Sheep
DS1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Desert Bighorn Sheep
GO1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Mountain Goat
BR1000,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Black Bear
TK0001,supplemental_row_has_draw_success_fields,sportsman_total_draw_result,Sportsman Bearded Turkey
CG9999,supplemental_row_has_draw_success_fields,availability_only,Cougar - Statewide
