xlsx_row,source_no,hunt_code_written,possible_hunt_codes,match_confidence,species,sex_type,hunt name,season,weapon,organization,review_flags
214,213,MB1000,MB1000,HIGH,Moose,Bull,Statewide,,,RMEF,
210,209,MB6000,MB6000,HIGH,Moose,Bull,Cache,,Any Legal Weapon,UCWF,
211,210,MB6006,MB6006,HIGH,Moose,Bull,"North Slope, Summit",,Any Legal Weapon,SCI,
212,211,MB6006,MB6006,HIGH,Moose,Bull,"North Slope, Summit",,Any Legal Weapon,SFW,
213,212,MB6011,MB6011,HIGH,Moose,Bull,Wasatch Mtns/Central Mtns,,Any Legal Weapon,NWTF,
290,289,PB1000,PB1000,HIGH,Pronghorn,Buck,Statewide,,,MDF,
222,221,PB5000|PB5025,PB5000|PB5025,MEDIUM,Pronghorn,Buck,Beaver,,Hunter's Choice,UAA,
223,222,PB5000|PB5025,PB5000|PB5025,MEDIUM,Pronghorn,Buck,Beaver,,Hunter's Choice,SFW,
224,223,PB5001|PB5026,PB5001|PB5026,MEDIUM,Pronghorn,Buck,"Book Cliffs, Bitter Creek",,Any Legal Weapon,DSC,
225,224,PB5001|PB5026,PB5001|PB5026,MEDIUM,Pronghorn,Buck,"Book Cliffs, Bitter Creek",,Any Legal Weapon,SFW,
226,225,PB5001|PB5026,PB5001|PB5026,MEDIUM,Pronghorn,Buck,"Book Cliffs, Bitter Creek",,Any Legal Weapon,MDF,
227,226,PB5002|PB5027,PB5002|PB5027,MEDIUM,Pronghorn,Buck,"Book Cliffs, South",,Any Legal Weapon,NWTF,
228,227,PB5002|PB5027,PB5002|PB5027,MEDIUM,Pronghorn,Buck,"Book Cliffs, South",,Any Legal Weapon,MDF,
229,228,PB5003|PB5028,PB5003|PB5028,MEDIUM,Pronghorn,Buck,"Box Elder, Promontory",,Any Legal Weapon,MDF,
230,229,PB5004|PB5029,PB5004|PB5029,MEDIUM,Pronghorn,Buck,"Box Elder, Puddle Valley",,Any Legal Weapon,SFW,
231,230,PB5005|PB5030|PB5080,PB5005|PB5030|PB5080,MEDIUM,Pronghorn,Buck,"Box Elder, Snowville",,Any Legal Weapon,SFW,
232,231,PB5005|PB5030|PB5080,PB5005|PB5030|PB5080,MEDIUM,Pronghorn,Buck,"Box Elder, Snowville",,Any Legal Weapon,SFW,
233,232,PB5006|PB5031|PB5079,PB5006|PB5031|PB5079,MEDIUM,Pronghorn,Buck,"Box Elder, West",,Any Legal Weapon,UHA,
234,233,PB5006|PB5031|PB5079,PB5006|PB5031|PB5079,MEDIUM,Pronghorn,Buck,"Box Elder, West",,Any Legal Weapon,SFW,
235,234,PB5008|PB5033|PB5065,PB5008|PB5033|PB5065,MEDIUM,Pronghorn,Buck,"Fillmore, Oak Creek South",,Any Legal Weapon,NWTF,
236,235,PB5008|PB5033|PB5065,PB5008|PB5033|PB5065,MEDIUM,Pronghorn,Buck,"Fillmore, Oak Creek South",,Any Legal Weapon,SFW,
237,236,PB5008|PB5033|PB5065,PB5008|PB5033|PB5065,MEDIUM,Pronghorn,Buck,"Fillmore, Oak Creek South",,Any Legal Weapon,MDF,
238,237,PB5009|PB5035,PB5009|PB5035,MEDIUM,Pronghorn,Buck,"La Sal, Potash/South Cisco",,Any Legal Weapon,UHA,
241,240,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,NWTF,
242,241,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,WCF,
243,242,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,MDF,
244,243,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,NWTF,
245,244,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,WCF,
246,245,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,SFW,
247,246,PB5011|PB5037|PB5059,PB5011|PB5037|PB5059,MEDIUM,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",,Any Legal Weapon,NWTF,
250,249,PB5012|PB5040|PB5066,PB5012|PB5040|PB5066,MEDIUM,Pronghorn,Buck,"North Slope, Three Corners/West Daggett",,Any Legal Weapon,MDF,
251,250,PB5012|PB5040|PB5066,PB5012|PB5040|PB5066,MEDIUM,Pronghorn,Buck,"North Slope, Three Corners/West Daggett",,Any Legal Weapon,SFW,
252,251,PB5012|PB5040|PB5066,PB5012|PB5040|PB5066,MEDIUM,Pronghorn,Buck,"North Slope, Three Corners/West Daggett",,Any Legal Weapon,SFW,
259,258,PB5013|PB5042|PB5062,PB5013|PB5042|PB5062,MEDIUM,Pronghorn,Buck,Pine Valley,,Any Legal Weapon,MDF,
260,259,PB5013|PB5042|PB5062,PB5013|PB5042|PB5062,MEDIUM,Pronghorn,Buck,Pine Valley,,Any Legal Weapon,SFW,
261,260,PB5015|PB5046|PB5056,PB5015|PB5046|PB5056,MEDIUM,Pronghorn,Buck,"San Rafael, North",,Any Legal Weapon,NWTF,
262,261,PB5015|PB5046|PB5056,PB5015|PB5046|PB5056,MEDIUM,Pronghorn,Buck,"San Rafael, North",,Any Legal Weapon,NWTF,
263,262,PB5015|PB5046|PB5056,PB5015|PB5046|PB5056,MEDIUM,Pronghorn,Buck,"San Rafael, North",,Any Legal Weapon,SFW,
264,263,PB5015|PB5046|PB5056,PB5015|PB5046|PB5056,MEDIUM,Pronghorn,Buck,"San Rafael, North",,Any Legal Weapon,NWTF,
265,264,PB5015|PB5046|PB5056,PB5015|PB5046|PB5056,MEDIUM,Pronghorn,Buck,"San Rafael, North",,Any Legal Weapon,SFW,
274,273,PB5017|PB5048|PB5072,PB5017|PB5048|PB5072,MEDIUM,Pronghorn,Buck,Vernal,,Any Legal Weapon,WCF,
275,274,PB5017|PB5048|PB5072,PB5017|PB5048|PB5072,MEDIUM,Pronghorn,Buck,Vernal,,Any Legal Weapon,WCF,
276,275,PB5017|PB5048|PB5072,PB5017|PB5048|PB5072,MEDIUM,Pronghorn,Buck,Vernal,,Any Legal Weapon,SCI,
277,276,PB5017|PB5048|PB5072,PB5017|PB5048|PB5072,MEDIUM,Pronghorn,Buck,Vernal,,Any Legal Weapon,MDF,
278,277,PB5017|PB5048|PB5072,PB5017|PB5048|PB5072,MEDIUM,Pronghorn,Buck,Vernal,,Any Legal Weapon,NWTF,
266,265,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,DSC,
267,266,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,UAA,
268,267,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,NWTF,
269,268,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,MDF,
270,269,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,NWTF,
271,270,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,SFW,
272,271,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,MDF,
273,272,PB5018|PB5024|PB5049,PB5018|PB5024|PB5049,MEDIUM,Pronghorn,Buck,Southwest Desert,,Any Legal Weapon,RMEF,
279,278,PB5019|PB5050,PB5019|PB5050,MEDIUM,Pronghorn,Buck,"West Desert, Riverbed",,Any Legal Weapon,NWTF,
280,279,PB5019|PB5050,PB5019|PB5050,MEDIUM,Pronghorn,Buck,"West Desert, Riverbed",,Any Legal Weapon,MDF,
281,280,PB5019|PB5050,PB5019|PB5050,MEDIUM,Pronghorn,Buck,"West Desert, Riverbed",,Any Legal Weapon,SFW,
282,281,PB5019|PB5050,PB5019|PB5050,MEDIUM,Pronghorn,Buck,"West Desert, Riverbed",,Any Legal Weapon,NWTF,
283,282,PB5020|PB5051,PB5020|PB5051,MEDIUM,Pronghorn,Buck,"West Desert, Rush Valley",,Any Legal Weapon,SFW,
284,283,PB5020|PB5051,PB5020|PB5051,MEDIUM,Pronghorn,Buck,"West Desert, Rush Valley",,Any Legal Weapon,MDF,
285,284,PB5021|PB5052,PB5021|PB5052,MEDIUM,Pronghorn,Buck,"West Desert, Snake Valley",,Any Legal Weapon,SFW,
286,285,PB5021|PB5052,PB5021|PB5052,MEDIUM,Pronghorn,Buck,"West Desert, Snake Valley",,Any Legal Weapon,MDF,
287,286,PB5021|PB5052,PB5021|PB5052,MEDIUM,Pronghorn,Buck,"West Desert, Snake Valley",,Any Legal Weapon,RMEF,
288,287,PB5021|PB5052,PB5021|PB5052,MEDIUM,Pronghorn,Buck,"West Desert, Snake Valley",,Any Legal Weapon,SFW,
289,288,PB5021|PB5052,PB5021|PB5052,MEDIUM,Pronghorn,Buck,"West Desert, Snake Valley",,Any Legal Weapon,SFW,
248,247,PB5038|PB5053,PB5038|PB5053,MEDIUM,Pronghorn,Buck,"Nine Mile, Range Creek",,Any Legal Weapon,NWTF,
249,248,PB5039,PB5039,HIGH,Pronghorn,Buck,"North Slope, Summit",,Any Legal Weapon,MDF,
253,252,PB5041|PB5054|PB5061,PB5041|PB5054|PB5061,MEDIUM,Pronghorn,Buck,"Panguitch Lake/Zion, North",,Any Legal Weapon,SFW,
254,253,PB5041|PB5054|PB5061,PB5041|PB5054|PB5061,MEDIUM,Pronghorn,Buck,"Panguitch Lake/Zion, North",,Any Legal Weapon,MDF,
255,254,PB5076|PB5077|PB5078,PB5076|PB5077|PB5078,MEDIUM,Pronghorn,Buck,Parker Mtn,,Any Legal Weapon,MDF,
256,255,PB5076|PB5077|PB5078,PB5076|PB5077|PB5078,MEDIUM,Pronghorn,Buck,Parker Mtn,,Any Legal Weapon,SFW,
257,256,PB5076|PB5077|PB5078,PB5076|PB5077|PB5078,MEDIUM,Pronghorn,Buck,Parker Mtn,,Any Legal Weapon,SFW,
258,257,PB5076|PB5077|PB5078,PB5076|PB5077|PB5078,MEDIUM,Pronghorn,Buck,Parker Mtn,,Any Legal Weapon,SFW,
239,238,PB5331|PB5332,PB5331|PB5332,MEDIUM,Pronghorn,Buck,Mt Dutton/Paunsaugunt,,Any Legal Weapon,MDF,
240,239,PB5331|PB5332,PB5331|PB5332,MEDIUM,Pronghorn,Buck,Mt Dutton/Paunsaugunt,,Any Legal Weapon,SFW,
296,295,RS0001,RS0001,HIGH,Rocky Mountain Bighorn Sheep,Ram,Statewide,,,SFW,
291,290,RS1001|RS6701,RS1001|RS6701,MEDIUM,Rocky Mountain Bighorn Sheep,Ram,"Book Cliffs, South",,Any Legal Weapon,UWSF,
292,291,RS1003|RS6703|RS6704|RS6722,RS1003|RS6703|RS6704|RS6722,MEDIUM,Rocky Mountain Bighorn Sheep,Ram,"Box Elder, Newfoundland Mtns (early)",,Any Legal Weapon,UWSF,
293,292,RS1003|RS6703|RS6704|RS6722,RS1003|RS6703|RS6704|RS6722,MEDIUM,Rocky Mountain Bighorn Sheep,Ram,"Box Elder, Newfoundland Mtns (late)",,Any Legal Weapon,UWSF,
295,294,RS1006|RS6712,RS1006|RS6712,MEDIUM,Rocky Mountain Bighorn Sheep,Ram,"Nine Mile, Gray Canyon",,Any Legal Weapon,SFW,
294,293,RS6720|RS6726|RS6727,RS6720|RS6726|RS6727,MEDIUM,Rocky Mountain Bighorn Sheep,Ram,"Fillmore, Oak Creek (late)",,Any Legal Weapon,UWSF,
337,336,TK0001,TK0001,HIGH,Turkey,Bearded,Statewide,,,SFW,
297,296,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,NWTF,
298,297,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,SFW,
299,298,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,SFW,
300,299,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,NWTF,
301,300,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,SFW,
302,301,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,MDF,
303,302,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,SFW,
304,303,TK1003|TK1012,TK1003|TK1012,MEDIUM,Turkey,Bearded,Central Area,,Multiseason,SFW,
305,304,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,WCF,
306,305,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,SFW,
307,306,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,SFW,
308,307,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,SFW,
309,308,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,NWTF,
310,309,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,SFW,
311,310,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,SFW,
312,311,TK1004|TK1013,TK1004|TK1013,MEDIUM,Turkey,Bearded,Northeastern Area,,Multiseason,SFW,
313,312,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,DSC,
314,313,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,UHA,
315,314,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,SFW,
316,315,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,WCF,
317,316,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,SFW,
318,317,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,SFW,
319,318,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,SFW,
320,319,TK1005|TK1014,TK1005|TK1014,MEDIUM,Turkey,Bearded,Northern Area,,Multiseason,NWTF,
321,320,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,NWTF,
322,321,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,NWTF,
323,322,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,SFW,
324,323,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,SFW,
325,324,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,SFW,
326,325,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,SFW,
327,326,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,SFW,
328,327,TK1006|TK1015,TK1006|TK1015,MEDIUM,Turkey,Bearded,Southeastern Area,,Multiseason,NWTF,
329,328,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,UHA,
330,329,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,MDF,
331,330,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,SFW,
332,331,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,SFW,
333,332,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,SFW,
334,333,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,NWTF,
335,334,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,NWTF,
336,335,TK1007,TK1007,HIGH,Turkey,Bearded,Southern Area,,Multiseason,SFW,
