hunt_code,residency,user_points,gap,status,trend,guaranteed_at_2026,guaranteed_at_2025,projected_draw_odds,hunt_point_summary_title,hunt_point_summary_guaranteed,hunt_point_summary_points,hunt_point_summary_status,hunt_point_summary_odds,hunt_point_summary_trend
BI6500,Nonresident,5,-5,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 5 pts,Status: 5 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,4,-4,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 4 pts,Status: 4 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,3,-3,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 3 pts,Status: 3 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,2,-2,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 2 pts,Status: 2 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,1,-1,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 1 pts,Status: 1 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,0,0,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 0 pts,Status: At guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6503,Resident,32,-2,DRAWING IN MAX POOL,GREEN,30,29,100.000,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 32 pts,Status: 2 pts above guaranteed,Estimated Draw Odds: 100.000% from remaining pool,Trend: GREEN
BI6503,Resident,31,-1,DRAWING IN MAX POOL,GREEN,30,29,100.000,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 31 pts,Status: 1 pts above guaranteed,Estimated Draw Odds: 100.000% from remaining pool,Trend: GREEN
BI6503,Resident,30,0,DRAWING IN MAX POOL,GREEN,30,29,100.000,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 30 pts,Status: At guaranteed,Estimated Draw Odds: 100.000% from remaining pool,Trend: GREEN
BI6503,Resident,29,1,ON THE EDGE,GREEN,30,29,16.788,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 29 pts,Status: 1 pts short of guaranteed,Estimated Draw Odds: 16.788% from remaining pool,Trend: GREEN
BI6503,Resident,28,2,BEHIND CURVE,GREEN,30,29,0.120,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 28 pts,Status: 2 pts short of guaranteed,Estimated Draw Odds: 0.120% from remaining pool,Trend: GREEN
BI6503,Resident,27,3,BEHIND CURVE,GREEN,30,29,0.136,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 27 pts,Status: 3 pts short of guaranteed,Estimated Draw Odds: 0.136% from remaining pool,Trend: GREEN
BI6503,Resident,26,4,BEHIND CURVE,GREEN,30,29,0.122,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 26 pts,Status: 4 pts short of guaranteed,Estimated Draw Odds: 0.122% from remaining pool,Trend: GREEN
BI6503,Resident,25,5,BEHIND CURVE,GREEN,30,29,0.138,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 25 pts,Status: 5 pts short of guaranteed,Estimated Draw Odds: 0.138% from remaining pool,Trend: GREEN
BI6503,Resident,24,6,BEHIND CURVE,GREEN,30,29,0.096,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 24 pts,Status: 6 pts short of guaranteed,Estimated Draw Odds: 0.096% from remaining pool,Trend: GREEN
BI6503,Resident,23,7,BEHIND CURVE,GREEN,30,29,0.098,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 23 pts,Status: 7 pts short of guaranteed,Estimated Draw Odds: 0.098% from remaining pool,Trend: GREEN
BI6503,Resident,22,8,BEHIND CURVE,GREEN,30,29,0.120,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 22 pts,Status: 8 pts short of guaranteed,Estimated Draw Odds: 0.120% from remaining pool,Trend: GREEN
BI6503,Resident,21,9,BEHIND CURVE,GREEN,30,29,0.090,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 21 pts,Status: 9 pts short of guaranteed,Estimated Draw Odds: 0.090% from remaining pool,Trend: GREEN
BI6503,Resident,20,10,BEHIND CURVE,GREEN,30,29,0.088,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 20 pts,Status: 10 pts short of guaranteed,Estimated Draw Odds: 0.088% from remaining pool,Trend: GREEN
BI6503,Resident,19,11,BEHIND CURVE,GREEN,30,29,0.088,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 19 pts,Status: 11 pts short of guaranteed,Estimated Draw Odds: 0.088% from remaining pool,Trend: GREEN
BI6503,Resident,18,12,BEHIND CURVE,GREEN,30,29,0.092,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 18 pts,Status: 12 pts short of guaranteed,Estimated Draw Odds: 0.092% from remaining pool,Trend: GREEN
BI6503,Resident,17,13,BEHIND CURVE,GREEN,30,29,0.068,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 17 pts,Status: 13 pts short of guaranteed,Estimated Draw Odds: 0.068% from remaining pool,Trend: GREEN
BI6503,Resident,16,14,BEHIND CURVE,GREEN,30,29,0.048,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 16 pts,Status: 14 pts short of guaranteed,Estimated Draw Odds: 0.048% from remaining pool,Trend: GREEN
BI6503,Resident,15,15,BEHIND CURVE,GREEN,30,29,0.072,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 15 pts,Status: 15 pts short of guaranteed,Estimated Draw Odds: 0.072% from remaining pool,Trend: GREEN
BI6503,Resident,14,16,BEHIND CURVE,GREEN,30,29,0.068,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 14 pts,Status: 16 pts short of guaranteed,Estimated Draw Odds: 0.068% from remaining pool,Trend: GREEN
BI6503,Resident,13,17,BEHIND CURVE,GREEN,30,29,0.054,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 13 pts,Status: 17 pts short of guaranteed,Estimated Draw Odds: 0.054% from remaining pool,Trend: GREEN
BI6503,Resident,12,18,BEHIND CURVE,GREEN,30,29,0.064,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 12 pts,Status: 18 pts short of guaranteed,Estimated Draw Odds: 0.064% from remaining pool,Trend: GREEN
BI6503,Resident,11,19,BEHIND CURVE,GREEN,30,29,0.058,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 11 pts,Status: 19 pts short of guaranteed,Estimated Draw Odds: 0.058% from remaining pool,Trend: GREEN
BI6503,Resident,10,20,BEHIND CURVE,GREEN,30,29,0.046,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 10 pts,Status: 20 pts short of guaranteed,Estimated Draw Odds: 0.046% from remaining pool,Trend: GREEN
BI6503,Resident,9,21,BEHIND CURVE,GREEN,30,29,0.052,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 9 pts,Status: 21 pts short of guaranteed,Estimated Draw Odds: 0.052% from remaining pool,Trend: GREEN
BI6503,Resident,8,22,BEHIND CURVE,GREEN,30,29,0.032,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 8 pts,Status: 22 pts short of guaranteed,Estimated Draw Odds: 0.032% from remaining pool,Trend: GREEN
BI6503,Resident,7,23,BEHIND CURVE,GREEN,30,29,0.042,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 7 pts,Status: 23 pts short of guaranteed,Estimated Draw Odds: 0.042% from remaining pool,Trend: GREEN
BI6503,Resident,6,24,BEHIND CURVE,GREEN,30,29,0.038,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 6 pts,Status: 24 pts short of guaranteed,Estimated Draw Odds: 0.038% from remaining pool,Trend: GREEN
BI6503,Resident,5,25,BEHIND CURVE,GREEN,30,29,0.026,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 5 pts,Status: 25 pts short of guaranteed,Estimated Draw Odds: 0.026% from remaining pool,Trend: GREEN
BI6503,Resident,4,26,BEHIND CURVE,GREEN,30,29,0.016,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 4 pts,Status: 26 pts short of guaranteed,Estimated Draw Odds: 0.016% from remaining pool,Trend: GREEN
BI6503,Resident,3,27,BEHIND CURVE,GREEN,30,29,0.016,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 3 pts,Status: 27 pts short of guaranteed,Estimated Draw Odds: 0.016% from remaining pool,Trend: GREEN
BI6503,Resident,2,28,BEHIND CURVE,GREEN,30,29,0.010,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 2 pts,Status: 28 pts short of guaranteed,Estimated Draw Odds: 0.010% from remaining pool,Trend: GREEN
BI6503,Resident,1,29,BEHIND CURVE,GREEN,30,29,0.012,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 1 pts,Status: 29 pts short of guaranteed,Estimated Draw Odds: 0.012% from remaining pool,Trend: GREEN
BI6503,Resident,0,30,BEHIND CURVE,GREEN,30,29,0.002,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 0 pts,Status: 30 pts short of guaranteed,Estimated Draw Odds: 0.002% from remaining pool,Trend: GREEN
BI6503,Nonresident,32,-2,DRAWING IN MAX POOL,YELLOW,30,30,100.000,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 32 pts,Status: 2 pts above guaranteed,Estimated Draw Odds: 100.000% from remaining pool,Trend: YELLOW
BI6503,Nonresident,31,-1,DRAWING IN MAX POOL,YELLOW,30,30,100.000,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 31 pts,Status: 1 pts above guaranteed,Estimated Draw Odds: 100.000% from remaining pool,Trend: YELLOW
BI6503,Nonresident,30,0,DRAWING IN MAX POOL,YELLOW,30,30,50.041,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 30 pts,Status: At guaranteed,Estimated Draw Odds: 50.041% from remaining pool,Trend: YELLOW
BI6503,Nonresident,29,1,ON THE EDGE,YELLOW,30,30,0.088,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 29 pts,Status: 1 pts short of guaranteed,Estimated Draw Odds: 0.088% from remaining pool,Trend: YELLOW
BI6503,Nonresident,28,2,BEHIND CURVE,YELLOW,30,30,0.082,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 28 pts,Status: 2 pts short of guaranteed,Estimated Draw Odds: 0.082% from remaining pool,Trend: YELLOW
BI6503,Nonresident,27,3,BEHIND CURVE,YELLOW,30,30,0.084,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 27 pts,Status: 3 pts short of guaranteed,Estimated Draw Odds: 0.084% from remaining pool,Trend: YELLOW
BI6503,Nonresident,26,4,BEHIND CURVE,YELLOW,30,30,0.070,HUNT POINT SUMMARY,Guaranteed At: 30 pts,Your Points: 26 pts,Status: 4 pts short of guaranteed,Estimated Draw Odds: 0.070% from remaining pool,Trend: YELLOW
