"local_path","size_bytes","size_mb","git_tracked","r2_bucket","r2_key","r2_uri","public_url_candidate","uploaded_at"
"engine_rebuild_from_truth/engine/odds_tables_with_modifiers.csv","107547973","102.57","False","uoga-data","hunt-builder/large-files/engine_rebuild_from_truth/engine/odds_tables_with_modifiers.csv","r2://uoga-data/hunt-builder/large-files/engine_rebuild_from_truth/engine/odds_tables_with_modifiers.csv","https://json.uoga.workers.dev/hunt-builder/large-files/engine_rebuild_from_truth/engine/odds_tables_with_modifiers.csv","2026-06-20T20:54:15"
"audits/truth_organization_staging/2020_PERMITS=2021_MODEL/dense_canonical/draw_results_2020_for_2021_DENSE_DUPLICATE_MERGE_LOG.csv","105908861","101","False","uoga-data","hunt-builder/large-files/audits/truth_organization_staging/2020_PERMITS=2021_MODEL/dense_canonical/draw_results_2020_for_2021_DENSE_DUPLICATE_MERGE_LOG.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_organization_staging/2020_PERMITS=2021_MODEL/dense_canonical/draw_results_2020_for_2021_DENSE_DUPLICATE_MERGE_LOG.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_organization_staging/2020_PERMITS=2021_MODEL/dense_canonical/draw_results_2020_for_2021_DENSE_DUPLICATE_MERGE_LOG.csv","2026-06-20T20:54:18"
"data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101852.csv","104660586","99.81","False","uoga-data","hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101852.csv","r2://uoga-data/hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101852.csv","https://json.uoga.workers.dev/hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101852.csv","2026-06-20T20:54:22"
"audits/truth_organization_staging/2020_PERMITS=2021_MODEL/clean_apply/draw_results_long_CLEANED_2020_CANONICAL_PATCH_CANDIDATE.csv","104660586","99.81","False","uoga-data","hunt-builder/large-files/audits/truth_organization_staging/2020_PERMITS=2021_MODEL/clean_apply/draw_results_long_CLEANED_2020_CANONICAL_PATCH_CANDIDATE.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_organization_staging/2020_PERMITS=2021_MODEL/clean_apply/draw_results_long_CLEANED_2020_CANONICAL_PATCH_CANDIDATE.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_organization_staging/2020_PERMITS=2021_MODEL/clean_apply/draw_results_long_CLEANED_2020_CANONICAL_PATCH_CANDIDATE.csv","2026-06-20T20:54:26"
"data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101436.csv","102608771","97.86","False","uoga-data","hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101436.csv","r2://uoga-data/hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101436.csv","https://json.uoga.workers.dev/hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2020_CLEAN_20260609_101436.csv","2026-06-20T20:54:29"
"audits/truth_organization_staging/2019_PERMITS=2020_MODEL/clean_apply/draw_results_long_CLEANED_2019_USER_VALIDATED_CANDIDATE.csv","102608771","97.86","False","uoga-data","hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/clean_apply/draw_results_long_CLEANED_2019_USER_VALIDATED_CANDIDATE.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/clean_apply/draw_results_long_CLEANED_2019_USER_VALIDATED_CANDIDATE.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/clean_apply/draw_results_long_CLEANED_2019_USER_VALIDATED_CANDIDATE.csv","2026-06-20T20:54:33"
"audits/truth_organization_staging/2019_PERMITS=2020_MODEL/patch_candidate/draw_results_long_WITH_2019_STRICT_PATCH_CANDIDATE.csv","102301834","97.56","False","uoga-data","hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/patch_candidate/draw_results_long_WITH_2019_STRICT_PATCH_CANDIDATE.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/patch_candidate/draw_results_long_WITH_2019_STRICT_PATCH_CANDIDATE.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/patch_candidate/draw_results_long_WITH_2019_STRICT_PATCH_CANDIDATE.csv","2026-06-20T20:54:36"
"audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_FINAL_DEDUPED_PLUS_VALIDATED_CG_TK_NOT_APPLIED.csv","98555164","93.99","False","uoga-data","hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_FINAL_DEDUPED_PLUS_VALIDATED_CG_TK_NOT_APPLIED.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_FINAL_DEDUPED_PLUS_VALIDATED_CG_TK_NOT_APPLIED.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_FINAL_DEDUPED_PLUS_VALIDATED_CG_TK_NOT_APPLIED.csv","2026-06-20T20:54:40"
"audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_DEDUPED_CANDIDATE_NOT_APPLIED.csv","98541376","93.98","False","uoga-data","hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_DEDUPED_CANDIDATE_NOT_APPLIED.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_DEDUPED_CANDIDATE_NOT_APPLIED.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_organization_staging/2019_PERMITS=2020_MODEL/dedupe_repair/draw_results_long_2019_DEDUPED_CANDIDATE_NOT_APPLIED.csv","2026-06-20T20:54:43"
"pages-dist/processed_data/draw_reality_engine.csv","95041150","90.64","False","uoga-data","hunt-builder/large-files/pages-dist/processed_data/draw_reality_engine.csv","r2://uoga-data/hunt-builder/large-files/pages-dist/processed_data/draw_reality_engine.csv","https://json.uoga.workers.dev/hunt-builder/large-files/pages-dist/processed_data/draw_reality_engine.csv","2026-06-20T20:54:47"
"processed_data/draw_reality_engine.csv","95041150","90.64","False","uoga-data","hunt-builder/large-files/processed_data/draw_reality_engine.csv","r2://uoga-data/hunt-builder/large-files/processed_data/draw_reality_engine.csv","https://json.uoga.workers.dev/hunt-builder/large-files/processed_data/draw_reality_engine.csv","2026-06-20T20:54:50"
