hunt_code,year,residency,points,eligible_applicants,total_drawn,bonus_permits,regular_permits,total_permits,status,success_ratio,hunt_name,source_file,page_number,p_draw_percent
BI6503,2025,Nonresident,9,163,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,8,196,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,8,196,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,7,229,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,7,229,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,6,252,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,6,252,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,5,238,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,5,238,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,4,209,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,4,209,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,3,214,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,3,214,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,2,247,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,2,247,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,1,300,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,1,300,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,0,332,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,0,332,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,28,13,2,2,0,2,,1 in 6.5,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,15.384615384615385
BI6503,2025,Resident,28,13,2,2,0,2,,1 in 6.5,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,15.384615384615385
BI6503,2025,Resident,27,33,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,27,33,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,26,42,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,26,42,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,25,56,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,25,56,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,24,70,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,24,70,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,23,57,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,23,57,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,22,63,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,22,63,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,21,48,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,21,48,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,20,63,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,20,63,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,19,73,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,19,73,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,18,82,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,18,82,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,17,104,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,17,104,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,16,113,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,16,113,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,15,110,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,15,110,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,14,101,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,14,101,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,13,99,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,13,99,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,12,127,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,12,127,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,11,138,2,0,2,2,,1 in 69.0,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,1.4492753623188406
BI6503,2025,Resident,11,138,2,0,2,2,,1 in 69.0,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,1.4492753623188406
BI6503,2025,Resident,10,163,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,10,163,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,9,194,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,9,194,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Resident,8,261,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Resident,8,261,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
