source_year,hunt_code,residency,points,species,hunt_name,weapon,public_permits_2025,max_point_permits_2025,random_permits_2025,guaranteed_at_2025,applicants_2025,odds_2025_actual,odds_2025_actual_pct,source_layer,source_origin
2025,BI6504,Resident,9,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,72,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,8,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,88,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,7,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,117,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,6,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,100,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,5,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,132,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,4,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,141,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,3,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,121,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,2,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,150,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,1,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,137,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,0,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,226,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,32,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,31,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,30,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,29,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,28,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,3,1 in 3.0,33.333,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,27,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,4,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,26,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,1,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,25,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,6,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,24,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,3,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,23,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,6,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,22,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,6,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,21,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,1,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,20,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,6,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,19,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,6,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,18,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,8,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,17,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,11,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,16,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,103,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,15,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,60,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,14,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,55,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,13,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,79,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Nonresident,12,Bison,Henry Mtns,Any Legal Weapon,2,1,1,29,60,N/A,,draw_breakdown_2025,2025 raw PDFs
