hunt_code,hunt_name,legacy_res,legacy_nr,legacy_total,dwr_res,dwr_nr,dwr_total,source_support_count,source_support_files,mismatch_fields,recommended_winner_flag,db_hunt_type,db_hunt_class,db_boundary_id,db_permit_allotment_2026_res,db_permit_allotment_2026_nr,db_permit_allotment_2026_total,db_permits_2026_res,db_permits_2026_nr,db_permits_2026_total,db_permits_2026_source,db_permits_2026_draw_source,db_permit_allotment_2026_source,db_permit_allotment_2026_source_file,db_permit_allotment_2026_status
MB6223,Three C CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,553,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6223,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6224,Two Bear CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,521,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6224,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6225,Wallsburg CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,586,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6225,CROSSWALK_CONFIRMED_ACTIVE_2025_OIL_PDF_2026_NUMBERS_PENDING
MB6240,Chimney Rock CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,732,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6240,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6254,SJ Ranch CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,576,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6254,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6257,Ingham Peak CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,493,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6257,CROSSWALK_CONFIRMED_ACTIVE_2025_OIL_PDF_2026_NUMBERS_PENDING
MB6259,Royal Ivory Outfitters CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,828,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6259,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
PB5313,West Willow Creek Ranch CWMU,,,0,,,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,805,,,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5313,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PB5341,Sweetwater CWMU,,,0,,,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,891,,,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5341,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1000,"Box Elder, Snowville",36,4,40,72,8,80,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,27,72,8,80,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe,LIVE_DWR_RES_NR_SPLIT
PD1012,"Box Elder, Promontory",18,2,20,22,3,25,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,24,22,3,25,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe,LIVE_DWR_RES_NR_SPLIT
PD1016,Zane CWMU,,,0,4,0,4,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,537,4,0,4,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1016,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1017,"Box Elder, West",31,4,35,49,6,55,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,755,49,6,55,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe,LIVE_DWR_RES_NR_SPLIT
PD1025,Cottonwood Ridge CWMU,,,0,4,0,4,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,824,4,0,4,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1025,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1026,Pahvant Ensign CWMU,,,0,4,0,4,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,826,4,0,4,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1032,Antelope Creek CWMU,,,0,6,,6,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,581,6,,6,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1032,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1044,Vernal-Ouray Valley,4,1,5,9,1,10,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,895,9,1,10,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe,LIVE_DWR_RES_NR_SPLIT
PD1045,The Rose of Snowville CWMU,,,0,4,0,4,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,509,4,0,4,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1045,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1046,Green River Flat CWMU,,,0,6,,6,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,918,6,,6,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1046,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
PD1057,"Parker Mtn, Highlands",27,3,30,31,4,35,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,873,31,4,35,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe,LIVE_DWR_RES_NR_SPLIT
PD1059,"Parker Mtn, Plains",31,4,35,27,3,30,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,940,27,3,30,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe,LIVE_DWR_RES_NR_SPLIT
