hunt_code,hunt_name,species,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source
DB1022,"San Juan, Elk Ridge",Deer,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1037,"San Juan, Elk Ridge",Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1046,"San Juan, Elk Ridge",Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5044,"San Juan, Hatch Point",Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6606,"San Juan, Lockhart",Desert Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6607,"San Juan, South",Desert Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6608,"San Rafael, Dirty Devil",Desert Bighorn Sheep,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6624,"San Rafael, Dirty Devil",Desert Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6609,"San Rafael, North",Desert Bighorn Sheep,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1084,"San Rafael, North",Elk,4,0,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5015,"San Rafael, North",Pronghorn,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5046,"San Rafael, North",Pronghorn,17,2,19,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5056,"San Rafael, North",Pronghorn,8,1,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6610,"San Rafael, South",Desert Bighorn Sheep,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6820,"Wasatch Mtns, Timpanogos",Mountain Goat,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5337,Heist CWMU,Pronghorn,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1015,Diamond Mtn,Deer,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1023,Diamond Mtn,Deer,14,2,16,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1038,Diamond Mtn,Deer,7,1,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1047,Diamond Mtn,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1089,Diamond Mtn,Elk,29,3,32,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1090,Diamond Mtn,Elk,28,3,31,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3020,Diamond Mtn,Elk,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3068,Diamond Mtn,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3069,Diamond Mtn,Elk,6,2,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3098,Diamond Mtn,Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3122,Diamond Mtn,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3195,Diamond Mtn,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3196,Diamond Mtn,Elk,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5017,Vernal,Pronghorn,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5048,Vernal,Pronghorn,12,2,14,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5072,Vernal,Pronghorn,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA2038,Wasatch Mtns,Elk,221,16,237,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3022,Wasatch Mtns,Elk,65,4,69,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3072,Wasatch Mtns,Elk,20,3,23,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3073,Wasatch Mtns,Elk,28,5,33,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3100,Wasatch Mtns,Elk,36,3,39,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3124,Wasatch Mtns,Elk,6,2,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3127,Wasatch Mtns,Elk,38,5,43,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3199,Wasatch Mtns,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1217,"Wasatch Mtns, Avintaquin",Elk,60,4,64,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6818,"Wasatch Mtns, Box Elder Peak",Mountain Goat,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6819,"Wasatch Mtns, Lone Peak",Mountain Goat,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6813,"Wasatch Mtns, Provo Peak",Mountain Goat,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1110,"Wasatch Mtns, Salt Lake",Elk,19,4,23,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1111,"Wasatch Mtns, Wallsburg",Elk,12,1,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1112,"Wasatch Mtns, Wallsburg",Elk,18,3,21,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1113,"Wasatch Mtns, West Heber",Elk,15,2,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3137,"West Desert, Deep Creek",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3144,"West Desert, Deep Creek",Elk,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5019,"West Desert, Riverbed",Pronghorn,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5050,"West Desert, Riverbed",Pronghorn,13,4,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5020,"West Desert, Rush Valley",Pronghorn,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5051,"West Desert, Rush Valley",Pronghorn,8,2,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5021,"West Desert, Snake Valley",Pronghorn,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5052,"West Desert, Snake Valley",Pronghorn,11,2,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1016,"West Desert, Vernon",Deer,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1024,"West Desert, Vernon",Deer,36,5,41,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1042,"West Desert, Vernon",Deer,11,1,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1048,"West Desert, Vernon",Deer,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7018,Kamas/North Slope Summit,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1101,East Canyon,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1105,HAMSS,Deer,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1603,East Canyon,Deer,373,12,385,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1604,East Canyon,Deer,222,11,233,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1605,East Canyon,Deer,169,7,176,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1606,East Canyon,Deer,158,1,159,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1800,East Canyon,Deer,38,0,38,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1236,East Canyon,Elk,190,15,205,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6002,East Canyon,Moose,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1239,"Nine Mile, Range Creek",Elk,20,3,23,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1240,"Nine Mile, Range Creek",Elk,44,5,49,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5038,"Nine Mile, Range Creek",Pronghorn,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5053,"Nine Mile, Range Creek",Pronghorn,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7111,North Slope Three Corners/West Daggett,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7212,North Slope Three Corners/West Daggett,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7308,North Slope Three Corners/West Daggett,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6007,"North Slope, Three Corners/West Daggett",Moose,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5012,"North Slope, Three Corners/West Daggett",Pronghorn,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5040,"North Slope, Three Corners/West Daggett",Pronghorn,6,2,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5066,"North Slope, Three Corners/West Daggett",Pronghorn,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1090,HAMSS,Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6621,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6620,"Pine Valley, Virgin River",Desert Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6622,"San Juan, North",Desert Bighorn Sheep,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6623,"San Juan, San Juan River",Desert Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1091,HAMSS,Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1049,"Mt Dutton, Deep Creek",Elk,16,2,18,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5045,"San Rafael, Desert",Pronghorn,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5055,"San Rafael, Desert",Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,3,0,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7120,Wasatch Mtns West-Central,Black Bear,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7221,Wasatch Mtns West-Central,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7316,Wasatch Mtns West-Central,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1189,"Wasatch Mtns, West-Central",Elk,167,21,188,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7001,Book Cliffs Bitter Creek/South,Black Bear,8,1,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7101,Book Cliffs Bitter Creek/South,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7201,Book Cliffs Bitter Creek/South,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7300,Book Cliffs Bitter Creek/South,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1224,"Book Cliffs, Bitter Creek/South",Elk,45,8,53,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1225,"Book Cliffs, Bitter Creek/South",Elk,57,7,64,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6009,Diamond Mtn/Vernal,Moose,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5331,Mt Dutton/Paunsaugunt,Pronghorn,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5332,Mt Dutton/Paunsaugunt,Pronghorn,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7012,Boulder/Kaiparowits,Black Bear,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7114,Boulder/Kaiparowits,Black Bear,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7215,Boulder/Kaiparowits,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7310,Boulder/Kaiparowits,Black Bear,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1084,Boulder/Kaiparowits,Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1518,Boulder/Kaiparowits,Deer,118,18,136,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1787,Boulder/Kaiparowits,Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5016,Diamond Mtn/Bonanza,Pronghorn,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5047,Diamond Mtn/Bonanza,Pronghorn,14,3,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5060,Diamond Mtn/Bonanza,Pronghorn,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7010,Panguitch Lake/Zion,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7112,Panguitch Lake/Zion,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7213,Panguitch Lake/Zion,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7309,Panguitch Lake/Zion,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7119,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7220,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,3,0,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7315,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1045,"Fillmore, Oak City",Deer,7,0,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1114,"Wasatch Mtns, West Timpanogos",Elk,24,2,26,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1258,Little Red Creek CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1147,Little Red Creek CWMU,Elk,10,0,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3534,Little Red Creek CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1263,Moon Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1151,Moon Ranch CWMU,Elk,4,0,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3538,Moon Ranch CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1310,White's Valley CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1244,Green Canyon CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1289,Sharp Mountain CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1235,Sharp Mountain CWMU,Elk,8,0,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3610,Sharp Mountain CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1293,South Canyon CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1167,South Canyon CWMU,Elk,6,0,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3554,South Canyon CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1303,North Peaks CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3565,North Peaks CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1252,Ingham Peak CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3528,Ingham Peak CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1328,Clear Creek CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1250,Indian Creek CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1281,Rattlesnake Pass CWMU,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1241,Golden Spike CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1306,Washakie CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1209,Blind Springs CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1277,Pocatello Valley CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1280,Promontory Point CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1270,Nucor West CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1273,Park Valley Hereford CWMU,Deer,3,0,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1222,Coldwater Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1125,Coldwater Ranch CWMU,Elk,10,0,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3509,Coldwater Ranch CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5311,The Rose of Snowville CWMU,Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1211,Blue Spring Hills CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1308,West Hills CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1231,Dove Creek CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1269,North Promontory CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1239,Fort Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1325,Double Cone CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1130,Double Cone CWMU,Elk,3,0,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3515,Double Cone CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1158,Cactus Ranch LLC CWMU,Elk,5,0,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3545,Cactus Ranch LLC CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1264,Mountain Meadow CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1236,Engineer Springs CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1233,East Fork Chalk Creek CWMU,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1132,East Fork Chalk Creek CWMU,Elk,13,0,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3517,East Fork Chalk Creek CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6208,East Fork Chalk Creek CWMU,Moose,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1304,Two Bear CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1174,Two Bear CWMU,Elk,28,0,28,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1237,Ensign Ranches CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1134,Ensign Ranches CWMU,Elk,28,0,28,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3519,Ensign Ranches CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1242,Grass Valley/Clark Canyon CWMU,Deer,5,0,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1136,Grass Valley/Clark Canyon CWMU,Elk,29,0,29,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3521,Grass Valley/Clark Canyon CWMU,Elk,5,0,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6211,Grass Valley/Clark Canyon CWMU,Moose,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1200,Alton - Premium Buck CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1201,Alton - Management Buck CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1334,Alton - Cactus Buck CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1118,Alton CWMU,Elk,4,0,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3500,Alton CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1205,Bar J Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1119,Bar J Ranch CWMU,Elk,5,0,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3501,Bar J Ranch CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1213,Boobe Hole CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1121,Boobe Hole CWMU,Elk,5,0,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3505,Boobe Hole CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1243,Grazing Pasture CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1137,Grazing Pasture CWMU,Elk,6,0,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3522,Grazing Pasture CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1255,Johnson Mountain Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1145,Johnson Mountain Ranch CWMU,Elk,8,0,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3531,Johnson Mountain Ranch CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1013,Mt Carmel CWMU,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1266,Mt Carmel CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1271,Oak Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1272,Old Woman Plateau CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1153,Old Woman Plateau CWMU,Elk,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3540,Old Woman Plateau CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5315,Zane CWMU,Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1287,Scofield Canyons CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1161,Scofield Canyons CWMU,Elk,6,0,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3548,Scofield Canyons CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1162,Scofield East CWMU,Elk,6,0,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3549,Scofield East CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1288,Scofield West CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1163,Scofield West CWMU,Elk,13,0,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3550,Scofield West CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1279,Preston Nutter Ranch CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1156,Preston Nutter Ranch CWMU,Elk,4,0,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3543,Preston Nutter Ranch CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1283,Roan Cliffs CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1159,Roan Cliffs CWMU,Elk,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3546,Roan Cliffs CWMU,Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1216,Castle Valley Outdoors CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5338,Castle Valley Outdoors CWMU,Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1295,Spring Creek/Dodge CWMU,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1168,Spring Creek/Dodge CWMU,Elk,11,0,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
