hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,aligned_recommended_res,aligned_recommended_nr,aligned_recommended_total,alignment_type,winner_source,confidence,source_support_count,source_presence,recommended_action
BR7101,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",14,1,15,14,1,15,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7102,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,5,0,5,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7104,"Manti, North",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",17,1,18,17,1,18,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7105,"Manti, South/San Rafael, North",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,18,2,20,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7106,Nebo,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",8,0,8,8,0,8,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7108,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 26 - June 29, 2025",25,2,27,25,2,27,DATABASE_MATCHES_RECOMMENDED,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7109,Mt Dutton,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,3,0,3,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7110,Nine Mile,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,18,2,20,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7111,"North Slope, Three Corners/West Daggett",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,1,0,1,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7112,Panguitch Lake/Zion,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,5,0,5,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7113,Paunsaugunt,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,3,0,3,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7114,Boulder/Kaiparowits,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",13,1,14,13,1,14,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7115,Fishlake/Thousand Lakes,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,7,0,7,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7116,San Juan,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,2,24,22,2,24,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,5,0,5,DATABASE_MATCHES_RECOMMENDED,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,PROMOTE_CANDIDATE_AFTER_REVIEW
