hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,aligned_recommended_res,aligned_recommended_nr,aligned_recommended_total,alignment_type,winner_source,confidence,source_support_count,source_presence,recommended_action,unresolved_sources,unresolved_classification,remaining_split_bucket,remaining_matching_sources,remaining_matching_source_count
DB1563,Manti/San Rafael,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1800,,,1800,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1564,Nebo,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1060,,,1060,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1566,Fillmore,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,460,,,460,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1568,Kamas,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,200,,,200,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1569,La Sal Mtns,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,360,,,360,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1570,Monroe,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,220,,,220,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1571,Mt Dutton,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,80,,,80,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1572,Nine Mile,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,280,,,280,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1573,North Slope,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,620,,,620,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1574,Ogden,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,540,,,540,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1576,Panguitch Lake,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,500,,,500,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1577,Pine Valley,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,600,,,600,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1579,Fishlake,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,260,,,260,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1581,"San Juan, Abajo Mtns",Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,560,,,560,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1582,Vernal/Bonanza,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,280,,,280,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1583,Yellowstone,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,280,,,280,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1584,Southwest Desert,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,100,,,100,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1585,"Wasatch Mtns, East",Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1300,,,1300,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1586,"Wasatch Mtns, West",Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1580,,,1580,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1589,Zion,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,675,,,675,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1591,Fillmore,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,460,,,460,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1592,Kamas,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,200,,,200,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1593,Nine Mile,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,280,,,280,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1594,Panguitch Lake,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,500,,,500,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1595,Pine Valley,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,600,,,600,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1596,Fishlake,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,260,,,260,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1597,Zion,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,675,,,675,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1598,North Slope,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,620,,,620,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1599,Chalk Creek,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,880,,,880,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1600,Chalk Creek,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,440,,,440,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1601,Chalk Creek,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,440,,,440,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1602,Chalk Creek,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,440,,,440,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1603,East Canyon,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,760,,,760,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1604,East Canyon,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,380,,,380,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1605,East Canyon,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,380,,,380,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1606,East Canyon,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,380,,,380,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1607,Morgan-South Rich,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,640,,,640,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1608,Morgan-South Rich,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,320,,,320,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1610,Morgan-South Rich,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,320,,,320,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1611,"Beaver, East",Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,440,,,440,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1612,"Beaver, East",Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,440,,,440,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1613,"Beaver, East",Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1320,,,1320,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1614,"Beaver, West",Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,130,,,130,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1615,"Beaver, West",Deer,Buck,Restricted Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,130,,,130,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1616,"Beaver, West",Deer,Buck,Restricted Rifle,General Season,Oct 17 2026 - Oct 25 2026,,,390,,,390,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1617,"West Desert, Swasey",Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,80,,,80,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1618,"West Desert, Swasey",Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,80,,,80,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1619,"West Desert, Swasey",Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,240,,,240,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1620,Oquirrh/Tintic,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,450,,,450,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1621,Oquirrh/Tintic,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,450,,,450,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1622,Oquirrh/Tintic,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1350,,,1350,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1623,Cedar/Stansbury,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,250,,,250,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1624,Cedar/Stansbury,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,250,,,250,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1625,Cedar/Stansbury,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,750,,,750,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1627,Cache,Deer,Buck,Restricted Rifle,General Season,Oct 17 2026 - Oct 25 2026,,,3480,,,3480,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1628,Cache,Deer,Buck,Restricted Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1160,,,1160,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1629,Boulder/Kaiparowits,Deer,Buck,Restricted Rifle,General Season,Oct 17 2026 - Oct 25 2026,,,960,,,960,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1630,Boulder/Kaiparowits,Deer,Buck,Restricted Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,720,,,720,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1631,Box Elder,Deer,Buck,Any Legal Weapon (Early),General Season,Oct 07 2026 - Oct 11 2026,,,1040,,,1040,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1770,Box Elder,Deer,Buck,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,688,,,688,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1771,Cache,Deer,Buck,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,,,588,,,588,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1772,Manti/San Rafael,Deer,Buck,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,573,,,573,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1773,Nebo,Deer,Buck,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,349,,,349,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1775,Fillmore,Deer,Buck,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,,,42,,,42,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
