hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,xlsx_res,xlsx_nr,xlsx_total,xlsx_total_printed,xlsx_permit_shape,xlsx_row_start,xlsx_continuation_rows_collapsed,pasted_res,pasted_nr,pasted_total,pasted_permit_shape,xlsx_vs_pasted_status,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,external_agreement_status,recommended_action,source_file,source_sha256
DB1018,"Book Cliffs, South",Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,,RES_NR_SPLIT_TOTAL_COMPUTED,50,51,34,4,38,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,34,4,38,34,4,38,32,3,35,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1019,"Fillmore, Oak Creek LE",Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,33,4,37,,RES_NR_SPLIT_TOTAL_COMPUTED,52,53,33,4,37,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,33,4,37,33,4,37,31,4,35,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1020,Dolores Triangle,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 14 2026 - Nov 22 2026,13,2,15,,RES_NR_SPLIT_TOTAL_COMPUTED,54,55,13,2,15,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,13,2,15,13,2,15,13,2,15,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1022,"San Juan, Elk Ridge",Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,42,5,47,,RES_NR_SPLIT_TOTAL_COMPUTED,56,57,42,5,47,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,42,5,47,42,5,47,41,4,45,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1023,Diamond Mtn,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,61,7,68,,RES_NR_SPLIT_TOTAL_COMPUTED,58,59,61,7,68,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,61,7,68,61,7,68,59,6,65,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1024,"West Desert, Vernon",Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,130,14,144,,RES_NR_SPLIT_TOTAL_COMPUTED,60,61,130,14,144,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,130,14,144,130,14,144,127,13,140,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1025,Book Cliffs,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,55,6,61,,RES_NR_SPLIT_TOTAL_COMPUTED,62,63,55,6,61,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,55,6,61,55,6,61,53,5,58,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1026,"Cache, Crawford Mtn",Buck,Deer,Muzzleloader,Limited Entry,Nov 07 2026 - Nov 22 2026,8,1,9,,RES_NR_SPLIT_TOTAL_COMPUTED,64,65,8,1,9,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,8,1,9,8,1,9,7,1,8,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1028,Fillmore,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,,RES_NR_SPLIT_TOTAL_COMPUTED,66,67,11,1,12,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,11,1,12,11,1,12,11,1,12,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1029,"Fillmore, Oak Creek LE",Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,12,1,13,,RES_NR_SPLIT_TOTAL_COMPUTED,68,69,12,1,13,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,12,1,13,12,1,13,12,1,13,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1030,Kamas,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,,RES_NR_SPLIT_TOTAL_COMPUTED,70,71,4,1,5,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,4,1,5,4,1,5,4,1,5,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1031,Dolores Triangle,Buck,Deer,Muzzleloader,Limited Entry,Nov 23 2026 - Dec 01 2026,5,0,5,,RES_NR_SPLIT_TOTAL_COMPUTED,72,73,5,0,5,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,5,0,5,5,0,5,5,0,5,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1032,Monroe,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,5,1,6,,RES_NR_SPLIT_TOTAL_COMPUTED,74,75,5,1,6,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,5,1,6,5,1,6,5,1,6,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
