hunt_code,hunt_name,species,draw_results_year,model_target_year,res_header,nr_header,total_header,res_display_header,nr_display_header,total_display_header,res_value,nr_value,total_value,source_value,status,recommended_2026_res,recommended_2026_nr,recommended_2026_total,recommended_2026_winner_source,recommended_2026_alignment
DB1044,Book Cliffs,Deer,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,8,1,9,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,8,1,9,HANUMBER,DATABASE_MATCHES_RECOMMENDED
DB1056,Book Cliffs (North & South),Deer,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,,,,,BLANK_TOTAL,,,,,
DB1056,Book Cliffs (North & South),Deer,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,,,,,BLANK_TOTAL,,,,,
DB1056,Book Cliffs (North & South),Deer,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,,,4,,TOTAL_ONLY,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,DATABASE_HAS_VALUE_NO_RECOMMENDATION
DB1075,Book Cliffs (North & South),Deer,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,,,,,BLANK_TOTAL,,,,,
DB1075,Book Cliffs (North & South),Deer,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,,,,,BLANK_TOTAL,,,,,
DB1075,Book Cliffs (North & South),Deer,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,,,2,,TOTAL_ONLY,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,DATABASE_HAS_VALUE_NO_RECOMMENDATION
DB1076,Book Cliffs (North & South),Deer,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,,,,,BLANK_TOTAL,,,,,
DB1076,Book Cliffs (North & South),Deer,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,,,,,BLANK_TOTAL,,,,,
DB1076,Book Cliffs (North & South),Deer,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,,,2,,TOTAL_ONLY,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,DATABASE_HAS_VALUE_NO_RECOMMENDATION
