boundary_geojson_path,row_refs,hunt_code_sample,local_status,local_reason,local_bytes,local_feature_count,local_is_lfs_pointer,live_status_code,live_content_type,live_status,live_reason,live_feature_count,live_is_lfs_pointer,live_url
"processed_data/boundaries/BR7224.geojson","1","BR7224","valid_geojson","feature_collection","3445","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7224.geojson"
"processed_data/boundaries/BR7225.geojson","1","BR7225","valid_geojson","feature_collection","3445","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7225.geojson"
"processed_data/boundaries/BR7228.geojson","1","BR7228","valid_geojson","feature_collection","5299","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7228.geojson"
"processed_data/boundaries/BR7229.geojson","1","BR7229","valid_geojson","feature_collection","12574","2","false","200","application/geo+json","valid_geojson","feature_collection","2","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7229.geojson"
"processed_data/boundaries/BR7237.geojson","1","BR7237","valid_geojson","feature_collection","3783","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7237.geojson"
"processed_data/boundaries/BR7238.geojson","1","BR7238","valid_geojson","feature_collection","3004","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7238.geojson"
"processed_data/boundaries/BR7239.geojson","1","BR7239","valid_geojson","feature_collection","13916","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7239.geojson"
"processed_data/boundaries/BR7300.geojson","1","BR7300","valid_geojson","feature_collection","9846","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7300.geojson"
"processed_data/boundaries/BR7301.geojson","1","BR7301","valid_geojson","feature_collection","3445","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7301.geojson"
"processed_data/boundaries/BR7303.geojson","1","BR7303","valid_geojson","feature_collection","5742","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7303.geojson"
"processed_data/boundaries/BR7304.geojson","1","BR7304","valid_geojson","feature_collection","7368","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7304.geojson"
"processed_data/boundaries/BR7305.geojson","1","BR7305","valid_geojson","feature_collection","4808","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7305.geojson"
"processed_data/boundaries/BR7307.geojson","1","BR7307","valid_geojson","feature_collection","11709","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7307.geojson"
"processed_data/boundaries/BR7308.geojson","1","BR7308","valid_geojson","feature_collection","7641","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7308.geojson"
"processed_data/boundaries/BR7309.geojson","1","BR7309","valid_geojson","feature_collection","5711","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7309.geojson"
"processed_data/boundaries/BR7310.geojson","1","BR7310","valid_geojson","feature_collection","20582","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7310.geojson"
"processed_data/boundaries/BR7311.geojson","1","BR7311","valid_geojson","feature_collection","9833","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7311.geojson"
"processed_data/boundaries/BR7312.geojson","1","BR7312","valid_geojson","feature_collection","21648","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7312.geojson"
"processed_data/boundaries/BR7313.geojson","1","BR7313","valid_geojson","feature_collection","15616","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7313.geojson"
"processed_data/boundaries/BR7314.geojson","1","BR7314","valid_geojson","feature_collection","18206","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7314.geojson"
"processed_data/boundaries/BR7315.geojson","1","BR7315","valid_geojson","feature_collection","9659","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7315.geojson"
"processed_data/boundaries/BR7316.geojson","1","BR7316","valid_geojson","feature_collection","9867","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7316.geojson"
"processed_data/boundaries/BR7317.geojson","1","BR7317","valid_geojson","feature_collection","9009","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7317.geojson"
"processed_data/boundaries/BR7318.geojson","1","BR7318","valid_geojson","feature_collection","6114","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7318.geojson"
"processed_data/boundaries/BR7320.geojson","1","BR7320","valid_geojson","feature_collection","5299","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7320.geojson"
"processed_data/boundaries/BR7321.geojson","1","BR7321","valid_geojson","feature_collection","12574","2","false","200","application/geo+json","valid_geojson","feature_collection","2","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7321.geojson"
"processed_data/boundaries/BR7322.geojson","1","BR7322","valid_geojson","feature_collection","5167","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7322.geojson"
"processed_data/boundaries/BR7323.geojson","1","BR7323","valid_geojson","feature_collection","9828","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7323.geojson"
"processed_data/boundaries/BR7324.geojson","1","BR7324","valid_geojson","feature_collection","9049","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7324.geojson"
"processed_data/boundaries/BR7325.geojson","1","BR7325","valid_geojson","feature_collection","9049","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7325.geojson"
"processed_data/boundaries/BR7326.geojson","1","BR7326","valid_geojson","feature_collection","13916","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7326.geojson"
