draw_results_year,permit_draw_year,report_year,model_year,hunt_code,prefix,source_appearance_count,source_file_count,source_files,source_report_families,source_pages,source_hunt_titles,combined_total_permits_values,current_database_match_statuses,name_match_statuses,totals_parse_statuses,lifecycle_classes,normalization_notes,duplicate_source_files,conflicting_source_names,conflicting_total_permits,crosscheck_status
2025,2025,2025,2026,BR7014,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,24,San Juan - Any Legal Weapon,38,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7017,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,27,Cache/ogden - Any Legal Weapon,2,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7020,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,29,Monroe - Any Legal Weapon,1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7100,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,30,Beaver -An y Legal Weapon,10,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7104,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,33,Manti North - Any Legal Weapon,18,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7106,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,35,Nebo - Any Legal Weapon,8,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7108,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,36,La Sal - Any Legal Weapon,27,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,TERMINAL_DROPOFF_CANDIDATE,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7109,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,37,Mt Dutton - Any Legal Weapon,3,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7110,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,38,Nine Mile - Any Legal Weapon,20,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7112,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,40,Panguitch Lake/zion - Any Legal Weapon,5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
