hunt_code,hunt_name,species,sex_type,hunt_type,universe_status,delete_recommendation,successor_hunt_code,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_status,notes
DB1294,Spring Creek Acres CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1295,Spring Creek/Dodge CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1298,Strawberry Ridge CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1299,Summit Point CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1300,Thatcher Mountain CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1301,Three C CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1303,North Peaks CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1304,Two Bear CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1305,Wallsburg CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1306,Washakie CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1308,West Hills CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1309,West Willow Creek Ranch CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1310,White's Valley CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1312,Woodruff Creek South CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1317,Jacob's Creek CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1320,Deer Creek CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING,Included in active 2026 permit reconciliation union.
DB1322,Pahvant Ensign CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1323,Rock House CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1324,Royal Ivory Outfitters CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING,Included in active 2026 permit reconciliation union.
DB1325,Double Cone CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1326,Rosette CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1327,Mountain Sky Ranch CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1328,Clear Creek CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1330,Iron Spring CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1331,Raft River CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1332,West Ridge CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1333,5S CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1334,Alton - Cactus Buck CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1335,Big Piney Ranch CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1336,First Light CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1337,Little Pole Canyon CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1338,Sweetwater CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,Included in active 2026 permit reconciliation union.
DB1341,Dry Creek CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1342,Faust Valley CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1343,Red Iron CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING,Included in active 2026 permit reconciliation union.
DB1344,Salt Wells CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING,Included in active 2026 permit reconciliation union.
DB1345,Diamond Mountain CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING,Included in active 2026 permit reconciliation union.
DB1347,The Rose of Snowville CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1348,Kimberly CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING,Included in active 2026 permit reconciliation union.
DB1349,Weber Florence Creek/Stillman Creek CWMU,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,0.0,9,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1351,The Dirty Dozen,Deer,Buck,CWMU,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,Included in active 2026 permit reconciliation union.
DB1501,Box Elder,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1040,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1502,Cache,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1160,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1503,Manti/San Rafael,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1800,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1504,Nebo,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1060,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1506,Fillmore,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,460,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1508,Kamas,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,200,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1509,La Sal Mtns,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,360,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1510,Monroe,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,220,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1511,Mt Dutton,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,80,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1512,Nine Mile,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,280,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1513,North Slope,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,620,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1514,Ogden,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,540,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1516,Panguitch Lake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,500,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1517,Pine Valley,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,600,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1518,Boulder/Kaiparowits,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,720,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1519,Fishlake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,260,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1521,"San Juan, Abajo Mtns",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,560,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1522,Vernal/Bonanza,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,420,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1523,Yellowstone,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,280,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1524,Southwest Desert,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,100,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1525,"Wasatch Mtns, East",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1300,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1526,"Wasatch Mtns, West",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1580,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1529,Zion,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,675,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1531,Box Elder,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,2080,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1533,Manti/San Rafael,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,5400,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1534,Nebo,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,3180,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1536,Fillmore,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,920,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1538,Kamas,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,400,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1539,La Sal Mtns,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1080,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1540,Monroe,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,660,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1541,Mt Dutton,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,240,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1542,Nine Mile,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,560,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1543,North Slope,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1240,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1544,Ogden,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1620,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1546,Panguitch Lake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1000,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1547,Pine Valley,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1200,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1549,Fishlake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,520,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1551,"San Juan, Abajo Mtns",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1680,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1552,Vernal/Bonanza,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,700,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1553,Yellowstone,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,840,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1554,Southwest Desert,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,300,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1555,"Wasatch Mtns, East",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,3900,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1556,"Wasatch Mtns, West",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,4740,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1559,Zion,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1350,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1561,Box Elder,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1040,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1563,Manti/San Rafael,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1800,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1564,Nebo,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1060,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1566,Fillmore,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,460,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1568,Kamas,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,200,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1569,La Sal Mtns,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,360,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1570,Monroe,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,220,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1571,Mt Dutton,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,80,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1572,Nine Mile,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,280,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1573,North Slope,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,620,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1574,Ogden,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,540,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1576,Panguitch Lake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,500,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1577,Pine Valley,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,600,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1579,Fishlake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,260,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1581,"San Juan, Abajo Mtns",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,560,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1582,Vernal/Bonanza,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,280,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1583,Yellowstone,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,280,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1584,Southwest Desert,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,100,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1585,"Wasatch Mtns, East",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1300,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1586,"Wasatch Mtns, West",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1580,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1589,Zion,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,675,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1591,Fillmore,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,460,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1592,Kamas,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,200,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1593,Nine Mile,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,280,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1594,Panguitch Lake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,500,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1595,Pine Valley,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,600,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1596,Fishlake,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,260,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1597,Zion,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,675,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1598,North Slope,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,620,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1599,Chalk Creek,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,880,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1600,Chalk Creek,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,440,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1601,Chalk Creek,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,440,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1602,Chalk Creek,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,440,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1603,East Canyon,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,760,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1604,East Canyon,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,380,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1605,East Canyon,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,380,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1606,East Canyon,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,380,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1607,Morgan-South Rich,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,640,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1608,Morgan-South Rich,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,320,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1609,Morgan-South Rich,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,320,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1610,Morgan-South Rich,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,320,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1611,"Beaver, East",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,440,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1612,"Beaver, East",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,440,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1613,"Beaver, East",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1320,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1614,"Beaver, West",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,130,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1615,"Beaver, West",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,130,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1616,"Beaver, West",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,390,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1617,"West Desert, Swasey",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,80,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1618,"West Desert, Swasey",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,80,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1619,"West Desert, Swasey",Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,240,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
DB1620,Oquirrh/Tintic,Deer,Buck,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,450,LIVE_DWR_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
