hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status
DB1004,Paunsaugunt,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 31 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,75,8,83,75,8,83,73,7,80,75,8,83,75,8,83,75,8,83,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1006,Paunsaugunt,Deer,Buck,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,26,3,29,26,3,29,25,3,28,26,3,29,26,3,29,26,3,29,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1010,Paunsaugunt,Deer,Buck,Any Legal Weapon,Management Buck Deer,Nov 02 2026 - Nov 20 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,30,3,33,30,3,33,29,3,32,30,3,33,30,3,33,30,3,33,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1011,Book Cliffs,Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,55,6,61,55,6,61,54,5,59,55,6,61,55,6,61,55,6,61,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1015,Diamond Mtn,Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,22,2,24,22,2,24,21,2,23,22,2,24,22,2,24,22,2,24,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1016,"West Desert, Vernon",Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,46,5,51,46,5,51,44,4,48,46,5,51,46,5,51,46,5,51,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1017,"Book Cliffs, North",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,137,15,152,137,15,152,134,14,148,137,15,152,137,15,152,137,15,152,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,34,4,38,34,4,38,32,3,35,34,4,38,34,4,38,34,4,38,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1019,"Fillmore, Oak Creek LE",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,33,4,37,33,4,37,31,4,35,33,4,37,33,4,37,33,4,37,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,42,5,47,42,5,47,41,4,45,42,5,47,42,5,47,42,5,47,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT
