target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,source_res,source_nr,source_total,source_file,action,reason
LO1566,DB1566,Fillmore,Fillmore - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.3333,True,True,LOW,124,12,136,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1591,DB1591,Fillmore,Fillmore - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (EARLY),ANY LEGAL WEAPON,0.25,True,False,LOW,141,23,164,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
EL3147,EB3147,Box Elder Grouse Creek,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3150,EB3150,Box Elder Grouse Creek,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3153,EB3153,Box Elder Grouse Creek,"Box Elder, Grouse Creek",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,1,1,2,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3135,EB3135,Barney Top/Kaiparowits,Barney Top/kaiparowits,ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,2,1,3,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3142,EB3142,Barney Top/Kaiparowits,Barney Top/kaiparowits,ELK,ELK,"HAMSS (HANDGUN, ARCHERY, MUZZLELOADER, SHOTGUN OR STRAIGHT-WALLED RIFLE)",H.A.M.S.S.,1.0,True,False,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3136,EB3136,Southwest Desert North,"Southwest Desert, North",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,2,1,3,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3143,EB3143,Southwest Desert North,"Southwest Desert, North",ELK,ELK,"HAMSS (HANDGUN, ARCHERY, MUZZLELOADER, SHOTGUN OR STRAIGHT-WALLED RIFLE)",H.A.M.S.S.,1.0,True,False,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3146,EB3146,Southwest Desert South,"Southwest Desert, South",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,5,1,6,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3149,EB3149,Southwest Desert South,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3152,EB3152,Southwest Desert South,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,4,1,5,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3155,EB3155,Southwest Desert South,"Southwest Desert, South",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,5,1,6,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3197,EB3197,Southwest Desert South,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3198,EB3198,Southwest Desert South,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,6,1,7,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3160,EB3160,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/east",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,4,1,5,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3161,EB3161,Book Cliffs Bitter Creek/East,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,1,0,1,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3162,EB3162,Book Cliffs Bitter Creek/East,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3163,EB3163,Book Cliffs Bitter Creek/East,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,5,1,6,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3164,EB3164,Book Cliffs Bitter Creek/East,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3166,EB3166,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/east",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,4,1,5,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3173,EB3173,Nebo/San Pitch Mtns,Nebo/san Pitch Mtns,ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,3,1,4,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3174,EB3174,Nebo/San Pitch Mtns,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3175,EB3175,Nebo/San Pitch Mtns,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3176,EB3176,Nebo/San Pitch Mtns,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,4,1,5,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3177,EB3177,Nebo/San Pitch Mtns,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,6,1,7,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3179,EB3179,Nebo/San Pitch Mtns,Nebo/san Pitch Mtns,ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,2,1,3,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
