hunt_code,prefix,present_2018,source_count_2018,present_2019,source_count_2019,present_2020,source_count_2020,present_2021,source_count_2021,present_2022,source_count_2022,present_2023,source_count_2023,present_2024,source_count_2024,present_2025,source_count_2025,present_2026,source_count_2026
BR7311,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7312,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7313,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7314,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7315,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7316,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7317,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7318,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7320,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7321,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7322,BR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7323,BR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7325,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1
BR7326,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
CG1000,CG,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
CG1013,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG1029,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG1030,CG,NO,0,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG1034,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7500,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7502,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7503,CG,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
CG7505,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7506,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7507,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7602,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7603,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7605,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7606,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7607,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7609,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7610,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7611,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7612,CG,NO,0,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
CG7613,CG,NO,0,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7615,CG,NO,0,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7618,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7619,CG,NO,0,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG7620,CG,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
CG9999,CG,NO,0,NO,0,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
