source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1087,"Wasatch Mtns, West",Deer,Buck,Muzzleloader,L.E.,,36,4,40,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1090,"Book Cliffs, Floy Canyon",Deer,Buck,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1091,Kaiparowits HAMSS,Deer,Buck,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1100,Chalk Creek,Deer,Buck,Muzzleloader,L.E.,,10,1,11,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1101,East Canyon,Deer,Buck,Muzzleloader,L.E.,,9,1,10,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1103,Morgan-South Rich,Deer,Buck,Muzzleloader,L.E.,,7,1,8,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1105,East Canyon,Deer,Buck,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1106,Thousand Lakes,Deer,Buck,Restricted Archery,L.E.,,20,2,22,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1107,Thousand Lakes,Deer,Buck,Restricted Muzzleloader,L.E.,,20,2,22,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1108,Thousand Lakes,Deer,Buck,Restricted Rifle,L.E.,,27,3,30,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1109,Thousand Lakes,Deer,Buck,Restricted Multiseason,L.E.,,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1110,"Beaver, East",Deer,Buck,Muzzleloader,L.E.,,10,1,11,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1111,"Beaver, West",Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1112,"West Desert, Swasey",Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1113,Oquirrh/Tintic,Deer,Buck,Muzzleloader,L.E.,,10,1,11,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1114,Cedar/Stansbury,Deer,Buck,Muzzleloader,L.E.,,5,1,6,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1115,Little Rockies,Deer,Buck,Any Legal Weapon,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
