row_number,hunt_code,year,match_method
100,EB3107,2024,unique_hunt_code
100,EB3107,2025,unique_hunt_code
100,EB3107,2026,identity
101,EB3170,2019,no_match
101,EB3170,2020,no_match
101,EB3170,2021,no_match
101,EB3170,2022,no_match
101,EB3170,2023,identity
101,EB3170,2024,unique_hunt_code
101,EB3170,2025,unique_hunt_code
101,EB3170,2026,identity
102,EB3171,2019,no_match
102,EB3171,2020,no_match
102,EB3171,2021,no_match
102,EB3171,2022,no_match
102,EB3171,2023,identity
102,EB3171,2024,unique_hunt_code
102,EB3171,2025,unique_hunt_code
102,EB3171,2026,identity
103,EL3005,2019,no_match
103,EL3005,2020,no_match
103,EL3005,2021,no_match
103,EL3005,2022,no_match
103,EL3005,2023,no_match
103,EL3005,2024,no_match
103,EL3005,2025,no_match
103,EL3005,2026,no_match
104,EL3036,2019,no_match
104,EL3036,2020,no_match
104,EL3036,2021,no_match
104,EL3036,2022,no_match
104,EL3036,2023,no_match
104,EL3036,2024,no_match
104,EL3036,2025,no_match
104,EL3036,2026,no_match
105,EL3037,2019,no_match
105,EL3037,2020,no_match
105,EL3037,2021,no_match
105,EL3037,2022,no_match
105,EL3037,2023,no_match
105,EL3037,2024,no_match
105,EL3037,2025,no_match
105,EL3037,2026,no_match
106,EL3083,2019,no_match
106,EL3083,2020,no_match
106,EL3083,2021,no_match
106,EL3083,2022,no_match
106,EL3083,2023,no_match
106,EL3083,2024,no_match
106,EL3083,2025,no_match
106,EL3083,2026,no_match
107,EL3170,2019,no_match
107,EL3170,2020,no_match
107,EL3170,2021,no_match
107,EL3170,2022,no_match
107,EL3170,2023,no_match
107,EL3170,2024,no_match
107,EL3170,2025,no_match
107,EL3170,2026,no_match
108,EL3171,2019,no_match
108,EL3171,2020,no_match
108,EL3171,2021,no_match
108,EL3171,2022,no_match
108,EL3171,2023,no_match
108,EL3171,2024,no_match
108,EL3171,2025,no_match
108,EL3171,2026,no_match
109,EA1013,2019,identity
109,EA1013,2020,identity
109,EA1013,2021,unique_hunt_code
109,EA1013,2022,identity
109,EA1013,2023,identity
109,EA1013,2024,unique_hunt_code
109,EA1013,2025,identity
109,EA1013,2026,identity
110,EA1015,2019,identity
110,EA1015,2020,identity
110,EA1015,2021,unique_hunt_code
110,EA1015,2022,identity
110,EA1015,2023,identity
110,EA1015,2024,unique_hunt_code
110,EA1015,2025,identity
110,EA1015,2026,identity
111,EA1017,2019,identity
111,EA1017,2020,identity
111,EA1017,2021,unique_hunt_code
111,EA1017,2022,identity
111,EA1017,2023,identity
111,EA1017,2024,unique_hunt_code
111,EA1017,2025,identity
111,EA1017,2026,identity
112,EA1018,2019,identity
112,EA1018,2020,identity
112,EA1018,2021,unique_hunt_code
112,EA1018,2022,identity
112,EA1018,2023,identity
112,EA1018,2024,unique_hunt_code
112,EA1018,2025,identity
112,EA1018,2026,identity
113,EA2011,2019,no_match
113,EA2011,2020,no_match
113,EA2011,2021,no_match
113,EA2011,2022,no_match
113,EA2011,2023,no_match
113,EA2011,2024,no_match
113,EA2011,2025,no_match
113,EA2011,2026,identity
114,EB3006,2019,identity
114,EB3006,2020,identity
114,EB3006,2021,identity
114,EB3006,2022,identity
114,EB3006,2023,identity
114,EB3006,2024,identity
114,EB3006,2025,identity
114,EB3006,2026,identity
115,EB3038,2019,unique_hunt_code
115,EB3038,2020,unique_hunt_code
115,EB3038,2021,unique_hunt_code
115,EB3038,2022,unique_hunt_code
115,EB3038,2023,unique_hunt_code
115,EB3038,2024,unique_hunt_code
115,EB3038,2025,unique_hunt_code
115,EB3038,2026,identity
116,EB3039,2019,unique_hunt_code
116,EB3039,2020,unique_hunt_code
116,EB3039,2021,unique_hunt_code
116,EB3039,2022,unique_hunt_code
116,EB3039,2023,unique_hunt_code
116,EB3039,2024,unique_hunt_code
116,EB3039,2025,unique_hunt_code
116,EB3039,2026,identity
117,EB3084,2019,identity
117,EB3084,2020,identity
117,EB3084,2021,identity
117,EB3084,2022,identity
117,EB3084,2023,identity
117,EB3084,2024,identity
117,EB3084,2025,identity
117,EB3084,2026,identity
118,EB3108,2019,identity
118,EB3108,2020,identity
118,EB3108,2021,unique_hunt_code
118,EB3108,2022,unique_hunt_code
118,EB3108,2023,unique_hunt_code
118,EB3108,2024,unique_hunt_code
118,EB3108,2025,unique_hunt_code
118,EB3108,2026,identity
119,EB3126,2019,unique_hunt_code
119,EB3126,2020,unique_hunt_code
119,EB3126,2021,unique_hunt_code
119,EB3126,2022,unique_hunt_code
119,EB3126,2023,unique_hunt_code
119,EB3126,2024,unique_hunt_code
119,EB3126,2025,unique_hunt_code
119,EB3126,2026,identity
120,EB3172,2019,no_match
120,EB3172,2020,no_match
120,EB3172,2021,no_match
120,EB3172,2022,no_match
120,EB3172,2023,identity
120,EB3172,2024,unique_hunt_code
120,EB3172,2025,unique_hunt_code
120,EB3172,2026,identity
121,EL3006,2019,no_match
121,EL3006,2020,no_match
121,EL3006,2021,no_match
121,EL3006,2022,no_match
121,EL3006,2023,no_match
121,EL3006,2024,no_match
121,EL3006,2025,no_match
