surface,source_csv,hunt_code,legacy_hunt_code_prefix,hunt_code_prefix_status,residency,point_level,hunt_name,species,hunt_category,applicants,permits,source_file,source_namespace,raw_hunt_code_status
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,12,Buck Deer Bonus Point,Buck Deer,Bonus Point,253,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,1,Buck Deer Bonus Point,Buck Deer,Bonus Point,742,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,0,Buck Deer Bonus Point,Buck Deer,Bonus Point,917,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,5,Buck Deer Bonus Point,Buck Deer,Bonus Point,963,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,26,Buck Deer Bonus Point,Buck Deer,Bonus Point,32,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,28,Buck Deer Bonus Point,Buck Deer,Bonus Point,15,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,9,Buck Deer Bonus Point,Buck Deer,Bonus Point,684,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,32,Buck Deer Bonus Point,Buck Deer,Bonus Point,1,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,11,Buck Deer Bonus Point,Buck Deer,Bonus Point,488,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,20,Buck Deer Bonus Point,Buck Deer,Bonus Point,135,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,7,Buck Deer Bonus Point,Buck Deer,Bonus Point,817,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,7,Buck Deer Bonus Point,Buck Deer,Bonus Point,496,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,1,Buck Deer Bonus Point,Buck Deer,Bonus Point,1317,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,18,Buck Deer Bonus Point,Buck Deer,Bonus Point,172,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,9,Buck Deer Bonus Point,Buck Deer,Bonus Point,373,0,,,FAMILY_AGGREGATE_LABEL
