source_csv,hunt_code,residency,point_level,hunt_name,species,hunt_category,applicants,permits,raw_hunt_code_status
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,13,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,3,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,14,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,3,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,15,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,3,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,16,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,3,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,2,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,18,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,3,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,195,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,4,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,7,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,5,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,81,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,6,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,47,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,7,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,35,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,8,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,19,0,NONSTANDARD_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TKY,Resident,9,Turkey Bonus Point,LE Bearded Turkey,Bonus Point,11,0,NONSTANDARD_CODE_SHAPE
