hunt_code,year,in_2026_database,overall_status,reconciliation_action,permit_status,harvest_permits,draw_total_permits_reconciled,harvest_permits_unique,draw_total_permits_unique,draw_permits_by_residency,metadata_status,metadata_matching_columns,metadata_fill_candidate_columns,metadata_conflict_columns,harvest_row_count,draw_row_count,draw_points_count,harvest_model_target_years,harvest_source_files,draw_source_files,draw_statuses,harvest_boundary_id,draw_boundary_id,harvest_hunt_name,draw_hunt_name,harvest_species,draw_species,harvest_sex_type,draw_sex_type,harvest_hunt_type,draw_hunt_type,harvest_weapon,draw_weapon,harvest_hunt_class,draw_hunt_class
EB3097,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_MATCH,11,11,11,0|1|2,"{""Nonresident"": ""10"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,53,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,San Juan Bull Elk,Limited-entry Muzzleloader Bull Elk - San Juan Bull Elk - Muzzleloader,Elk,,,,,Limited Entry,,,,Limited Entry
EB3098,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,13,7,13,0|1|2,"{""Nonresident"": ""2"", ""Resident"": ""5""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,49,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"South Slope, Diamond Mtn","Limited-entry Muzzleloader Bull Elk - South Slope, Diamond Mtn - Muzzleloader",Elk,,,,,Limited Entry,,,,Limited Entry
EB3100,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,190,127,190,0|1|2|4|6|9|10|12|19|51,"{""Nonresident"": ""15"", ""Resident"": ""112""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,47,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Wasatch Mtns,Limited-entry Muzzleloader Bull Elk - Wasatch Mtns - Muzzleloader,Elk,,,,,Limited Entry,,,,Limited Entry
EB3102,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,3,1,3,0|1,"{""Nonresident"": ""1"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Beaver, East","Multi-season Limited-entry Any Bull Elk - Beaver, East -An y Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3103,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,5,3,5,0|1,"{""Nonresident"": ""3"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Book Cliffs, Bitter Creek/South","Multi-season Limited-entry Any Bull Elk - Book Cliffs, Bitter Creek/south - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3104,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,2,1,2,0|1,"{""Nonresident"": ""1"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Book Cliffs, Little Creek Roadless","Multi-season Limited-entry Any Bull Elk - Book Cliffs, Little Creek Roadless - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3105,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_MATCH,2,2,2,0|1,"{""Nonresident"": ""2"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Cache, Meadowville","Multi-season Limited-entry Any Bull Elk - Cache, Meadowville - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3107,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,2,1,2,0|1,"{""Nonresident"": ""1"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Cache, South","Multi-season Limited-entry Any Bull Elk - Cache, South - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3108,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,18,13,18,0|1|2|3,"{""Nonresident"": ""7"", ""Resident"": ""6""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,54,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Central Mtns, Manti","Multi-season Limited-entry Any Bull Elk - Central Mtns, Manti - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3109,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,3,2,3,0|1,"{""Nonresident"": ""2"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Central Mtns, Nebo","Multi-season Limited-entry Any Bull Elk - Central Mtns, Nebo - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3110,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,3,2,3,0|1,"{""Nonresident"": ""1"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Fillmore, Pahvant","Multi-season Limited-entry Any Bull Elk - Fillmore, Pahvant - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3111,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,6,4,6,0|1,"{""Nonresident"": ""4"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"La Sal, La Sal Mtns","Multi-season Limited-entry Any Bull Elk - La Sal, La Sal Mtns - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3112,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,2,1,2,0|1,"{""Nonresident"": ""1"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Monroe,Multi-season Limited-entry Any Bull Elk - Monroe - Any Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3113,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,3,2,3,0|1,"{""Nonresident"": ""2"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Mt Dutton,Multi-season Limited-entry Any Bull Elk - Mt Dutton - Any Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3115,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,2,1,2,0|1,"{""Nonresident"": ""1"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"North Slope, Three Corners","Multi-season Limited-entry Any Bull Elk - North Slope, Three Corners - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3117,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,2,1,2,0|1,"{""Nonresident"": ""1"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Panguitch Lake,Multi-season Limited-entry Any Bull Elk - Panguitch Lake -An y Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3118,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,4,3,4,0|1|2,"{""Nonresident"": ""3"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Paunsaugunt,Multi-season Limited-entry Any Bull Elk - Paunsaugunt - Any Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3120,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,9,6,9,0|1|2,"{""Nonresident"": ""3"", ""Resident"": ""3""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Plateau, Fishlake/Thousand Lakes","Multi-season Limited-entry Any Bull Elk - Plateau, Fishlake/thousand Lakes - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3121,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,3,1,3,0|1,"{""Nonresident"": ""0"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,San Juan Bull Elk,Multi-season Limited-entry Any Bull Elk - San Juan Bull Elk - Any Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3122,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,3,2,3,0|1,"{""Nonresident"": ""2"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"South Slope, Diamond Mtn","Multi-season Limited-entry Any Bull Elk - South Slope, Diamond Mtn - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3124,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,30,25,30,0|1|2|3|7,"{""Nonresident"": ""13"", ""Resident"": ""12""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Wasatch Mtns,Multi-season Limited-entry Any Bull Elk - Wasatch Mtns - Any Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3126,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,31,22,31,0|1|3|5|7,"{""Nonresident"": ""1"", ""Resident"": ""21""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Central Mtns, Manti (mid)","Limited-entry Alw (rifle) Bull Elk - Mid - Central Mtns, Manti - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3127,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,88,46,88,0|1|2|3|4|6|8|10,"{""Nonresident"": ""18"", ""Resident"": ""28""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,47,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Wasatch Mtns (mid),Limited-entry Alw (rifle) Bull Elk - Mid - Wasatch Mtns - Any Legal Weapon,Elk,,,,,Limited Entry,,,,Limited Entry
EB3130,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_MATCH,3,3,3,0|1,"{""Nonresident"": ""3"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Box Elder, Pilot Mtn","Limited-entry Archery Bull Elk - Box Elder, Pilot Mtn - Archery",Elk,,,,,Limited Entry,,,,Limited Entry
EB3131,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,2,,0|1,"{""Nonresident"": ""2"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry September Archery Bull Elk - Box Elder, Sawtooth - Archery",,,,,,Limited Entry,,,,Limited Entry
EB3132,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,17,,0|1|2|3|4,"{""Nonresident"": ""16"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,51,28,,,21_bg-odds.pdf,,,,,"Limited-entry September Archery Bull Elk - Cache, North - Archery",,,,,,Limited Entry,,,,Limited Entry
EB3133,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,19,,0|1|2|9,"{""Nonresident"": ""18"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry September Archery Bull Elk - Nine Mile, Anthro - Archery",,,,,,Limited Entry,,,,Limited Entry
EB3134,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,10,,0|1|2,"{""Nonresident"": ""10"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,Limited-entry September Archery Bull Elk - Oquirrh-stansbury - Archery,,,,,,Limited Entry,,,,Limited Entry
EB3135,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,7,,0|1|2,"{""Nonresident"": ""7"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry September Archery Bull Elk - Plateau, Barney Top/kaiparowits - Archery",,,,,,Limited Entry,,,,Limited Entry
EB3136,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,8,,0|1,"{""Nonresident"": ""7"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry September Archery Bull Elk - Southwest Desert, North - Archery",,,,,,Limited Entry,,,,Limited Entry
EB3137,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,11,,0|1,"{""Nonresident"": ""10"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry September Archery Bull Elk - West Desert, Deep Creek - Archery",,,,,,Limited Entry,,,,Limited Entry
EB3138,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,3,,0|1,"{""Nonresident"": ""2"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry Hams Bull Elk - Box Elder, Sawtooth - H.a.m.s.",,,,,,Limited Entry,,,,Limited Entry
EB3139,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,17,,0|1|2|3|4,"{""Nonresident"": ""16"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry Hams Bull Elk -Cache , North - H.a.m.s.",,,,,,Limited Entry,,,,Limited Entry
EB3140,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,13,,0|1|2|3,"{""Nonresident"": ""6"", ""Resident"": ""7""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,49,28,,,21_bg-odds.pdf,,,,,"Limited-entry Hams Bull Elk - Nine Mile, Anthro - H.a.m.s.",,,,,,Limited Entry,,,,Limited Entry
EB3141,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,10,,0|1|2,"{""Nonresident"": ""10"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,Limited-entry Hams Bull Elk -O quirrh-stansbury - H.a.m.s.,,,,,,Limited Entry,,,,Limited Entry
EB3142,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,8,,0|1|2,"{""Nonresident"": ""7"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry Hams Bull Elk - Plateau, Barney Top/kaiparowits - H.a.m.s.",,,,,,Limited Entry,,,,Limited Entry
EB3143,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,4,,0|1,"{""Nonresident"": ""4"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,49,28,,,21_bg-odds.pdf,,,,,"Limited-entry Hams Bull Elk - Southwest Desert, North - H.a.m.s.",,,,,,Limited Entry,,,,Limited Entry
EB3144,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,10,,0|1|3,"{""Nonresident"": ""10"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Limited-entry Hams Bull Elk - West Desert, Deep Creek - H.a.m.s.",,,,,,Limited Entry,,,,Limited Entry
EB3145,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,21,19,21,0|1|2|3|6,"{""Nonresident"": ""18"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,49,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Plateau, Boulder","Limited-entry Archery Bull Elk - Plateau, Boulder - Archery",Elk,,,,,Limited Entry,,,,Limited Entry
EB3146,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,30,16,30,0|1|3|4,"{""Nonresident"": ""0"", ""Resident"": ""16""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,47,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Southwest Desert, South","Limited-entry Archery Bull Elk - Southwest Desert, South - Archery",Elk,,,,,Limited Entry,,,,Limited Entry
EB3147,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,13,10,13,0|1|3,"{""Nonresident"": ""1"", ""Resident"": ""9""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Box Elder, Grouse Creek (early)","Limited-entry Alw (rifle) Bull Elk - Early - Box Elder, Grouse Creek - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3148,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,30,22,30,0|1|2|9,"{""Nonresident"": ""11"", ""Resident"": ""11""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,26,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Plateau, Boulder (early)","Limited-entry Alw (rifle) Bull Elk - Early - Plateau, Boulder - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3149,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,33,23,33,0|1|2|4|7,"{""Nonresident"": ""1"", ""Resident"": ""22""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,54,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Southwest Desert, South (early)","Limited-entry Alw (rifle) Bull Elk - Early - Southwest Desert, South - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3150,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,8,4,8,0|1,"{""Nonresident"": ""3"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,49,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Box Elder, Grouse Creek (late)","Limited-entry Alw (rifle) Bull Elk - Mid - Box Elder, Grouse Creek - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
EB3151,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_MATCH,19,19,19,0|1|2|4,"{""Nonresident"": ""17"", ""Resident"": ""2""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Plateau, Boulder (late)","Limited-entry Alw (rifle) Bull Elk - Late -Plateau , Boulder - Any Legal Weapon",Elk,,,,,Limited Entry,,,,Limited Entry
