hunt_code,species,sex_type,hunt_name,hunt_type,weapon,source_scope,comparison_status,draw_total_permits,expo_permits_matched,draw_plus_expo_total,harvest_permits,permit_delta_harvest_minus_draw,permit_delta_harvest_minus_draw_plus_expo,draw_plus_expo_status,expo_match_status,expo_match_sources,draw_source_files,harvest_source_files,draw_row_count,harvest_row_count,draw_residencies,draw_points_count,harvest_unique_permit_values,in_2026_database,same_total_match_ready,notes
DB1586,Deer,Male Only,"Wasatch Mtns, West",General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1129,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1129,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1589,Deer,Male Only,Zion,General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,489,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,489,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1591,Deer,Male Only,Fillmore,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,375,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,375,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1592,Deer,Male Only,Kamas,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,233,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,233,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1593,Deer,Male Only,Nine Mile,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,224,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,224,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1594,Deer,Male Only,Panguitch Lake,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,397,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,397,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1595,Deer,Male Only,Pine Valley,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,496,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,496,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1596,Deer,Male Only,Fishlake,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,210,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,210,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1597,Deer,Male Only,Zion,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,535,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,535,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1598,Deer,Male Only,North Slope,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,563,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,563,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1599,Deer,Male Only,Chalk Creek,General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,851,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,851,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1600,Deer,Male Only,Chalk Creek,General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,420,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,420,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1601,Deer,Male Only,Chalk Creek,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,433,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,433,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1602,Deer,Male Only,Chalk Creek,General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,277,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,277,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1603,Deer,Male Only,East Canyon,General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,761,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,761,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1604,Deer,Male Only,East Canyon,General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,315,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,315,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1605,Deer,Male Only,East Canyon,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,360,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,360,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1606,Deer,Male Only,East Canyon,General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,316,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,316,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1607,Deer,Male Only,Morgan-South Rich,General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,628,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,628,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1608,Deer,Male Only,Morgan-South Rich,General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,308,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,308,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1609,Deer,Male Only,Morgan-South Rich,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,323,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,323,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1610,Deer,Male Only,Morgan-South Rich,General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,181,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,181,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1611,Deer,Male Only,"Beaver, East",General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,296,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,296,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1612,Deer,Male Only,"Beaver, East",General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,307,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,307,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1613,Deer,Male Only,"Beaver, East",General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1059,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1059,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1614,Deer,Male Only,"Beaver, West",General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,91,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,91,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1615,Deer,Male Only,"Beaver, West",General Season,Muzzleloader Restricted,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,89,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,89,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1616,Deer,Male Only,"Beaver, West",General Season,Rifle Restricted,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,286,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,286,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1617,Deer,Male Only,"West Desert, Swasey",General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,68,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,68,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1618,Deer,Male Only,"West Desert, Swasey",General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,65,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,65,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1619,Deer,Male Only,"West Desert, Swasey",General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,228,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,228,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1620,Deer,Male Only,Oquirrh/Tintic,General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,372,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,372,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1621,Deer,Male Only,Oquirrh/Tintic,General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,385,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,385,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1622,Deer,Male Only,Oquirrh/Tintic,General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1412,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1412,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1623,Deer,Male Only,Cedar/Stansbury,General Season,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,181,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,181,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1624,Deer,Male Only,Cedar/Stansbury,General Season,Muzzleloader,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,190,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,190,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1625,Deer,Male Only,Cedar/Stansbury,General Season,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,621,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,621,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1627,Deer,Male Only,Cache,General Season,Rifle Restricted,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,2723,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,2723,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1628,Deer,Male Only,Cache,General Season,Muzzleloader Restricted,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,548,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,548,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1629,Deer,Male Only,Boulder/Kaiparowits,General Season,Rifle Restricted,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1226,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1226,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1630,Deer,Male Only,Boulder/Kaiparowits,General Season,Muzzleloader Restricted,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,395,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,395,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1631,Deer,Male Only,Box Elder,General Season,Early Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,963,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,963,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1770,Deer,Male Only,Box Elder,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,83,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,83,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1771,Deer,Male Only,Cache,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,297,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,297,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1772,Deer,Male Only,Manti/San Rafael,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1037,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1037,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1773,Deer,Male Only,Nebo,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,561,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,561,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1774,Deer,Male Only,Chalk Creek/East Canyon/Morgan-South Rich,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1,FALSE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1775,Deer,Male Only,Fillmore,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,291,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,291,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1777,Deer,Male Only,Kamas,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,104,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,104,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1778,Deer,Male Only,La Sal Mtns,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,215,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,215,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1779,Deer,Male Only,Monroe,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,73,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,73,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1780,Deer,Male Only,Mt Dutton,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,49,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,49,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1781,Deer,Male Only,Nine Mile,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,163,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,163,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1782,Deer,Male Only,North Slope,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,136,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,136,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1783,Deer,Male Only,Ogden,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,125,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,125,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1785,Deer,Male Only,Panguitch Lake,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,298,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,298,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1786,Deer,Male Only,Pine Valley,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,404,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,404,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1787,Deer,Male Only,Boulder/Kaiparowits,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,265,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,265,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1788,Deer,Male Only,Fishlake,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,155,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,155,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1790,Deer,Male Only,"San Juan, Abajo Mtns",General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,176,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,176,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1791,Deer,Male Only,Vernal/Bonanza,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,157,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,157,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1792,Deer,Male Only,Yellowstone,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,163,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,163,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1793,Deer,Male Only,Southwest Desert,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,53,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,53,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1794,Deer,Male Only,"Wasatch Mtns, East",General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,788,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,788,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1795,Deer,Male Only,"Wasatch Mtns, West",General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,545,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,545,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1798,Deer,Male Only,Zion,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,360,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,360,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1799,Deer,Male Only,Chalk Creek,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,47,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,47,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1800,Deer,Male Only,East Canyon,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,107,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,107,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1801,Deer,Male Only,Morgan-South Rich,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,25,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,25,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1802,Deer,Male Only,"Beaver, East",General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,245,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,245,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1803,Deer,Male Only,"Beaver, West",General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,54,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,54,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1804,Deer,Male Only,Cedar/Stansbury,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,141,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,141,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1805,Deer,Male Only,Oquirrh/Tintic,General Season,Dedicated Hunter,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,276,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,276,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
