hunt_code,hunt_name,species,residency,hunt_class,modeled_draw_probability,harvest_success_pct,permits_2026_total,sleeper_score,sleeper_reasons,data_limitations
EB3108,Manti,Elk,Nonresident,Mature Bull,0.2,73.9,20,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3108,Manti,Elk,Resident,Mature Bull,0.5,73.9,20,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3111,La Sal Mtns,Elk,Nonresident,Mature Bull,0,100,5,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3111,La Sal Mtns,Elk,Resident,Mature Bull,0.3,100,5,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3112,Monroe,Elk,Nonresident,Mature Bull,0,100,3,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3112,Monroe,Elk,Resident,Mature Bull,0.1,100,3,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3121,San Juan Bull Elk,Elk,Nonresident,Mature Bull,0,100,4,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3122,Diamond Mtn,Elk,Nonresident,Mature Bull,0,100,3,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3122,Diamond Mtn,Elk,Resident,Mature Bull,0.1,100,3,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3126,Manti,Elk,Nonresident,Mature Bull,0.8,69.2,195,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3126,Manti,Elk,Resident,Mature Bull,9.3,69.2,195,5,better odds than peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3127,Wasatch Mtns,Elk,Resident,Mature Bull,6.2,68.7,172,4,better odds than peer median; permit count at or above peer median; point creep not worse than peer median; not an obvious marquee hunt name,
EB3132,"Cache, North",Elk,Nonresident,Mature Bull,0,37.5,24,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3132,"Cache, North",Elk,Resident,Mature Bull,0,37.5,24,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3136,"Southwest Desert, North",Elk,Resident,Mature Bull,0,42.1,23,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3137,"West Desert, Deep Creek",Elk,Resident,Mature Bull,0,61.5,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3139,"Cache, North",Elk,Resident,Mature Bull,0,59.3,24,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3143,"Southwest Desert, North",Elk,Nonresident,Mature Bull,0,72.2,23,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3143,"Southwest Desert, North",Elk,Resident,Mature Bull,0,72.2,23,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3144,"West Desert, Deep Creek",Elk,Nonresident,Mature Bull,0,78.6,15,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3144,"West Desert, Deep Creek",Elk,Resident,Mature Bull,0,78.6,15,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3146,"Southwest Desert, South",Elk,Nonresident,Mature Bull,0.3,44.2,43,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3146,"Southwest Desert, South",Elk,Resident,Mature Bull,0,44.2,43,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3149,"Southwest Desert, South",Elk,Nonresident,Mature Bull,0.1,83.3,18,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3149,"Southwest Desert, South",Elk,Resident,Mature Bull,0.4,83.3,18,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3151,Boulder,Elk,Nonresident,Mature Bull,0.1,81.8,24,4,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists,
