boundary_id,hunt_units_boundary_name,arcgis_hunt_count,arcgis_hunt_numbers,arcgis_boundary_names,arcgis_seasons,arcgis_boundary_name_match
137,"North Slope, Manila-Phil Pico",1,DA1005,"North Slope, Manila-Phil Pico",,True
138,"North Slope, Summit",8,BR1000|BR7123|BR7229|BR7235|BR7306|BR7321|DB0007|DB1021,"Black Bear - Statewide Permit|Buck Deer - Statewide Permit|Chalk Creek/Kamas/North Slope, Summit|Kamas/North Slope, Summit|North Slope, Summit","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|May 25 - June 28, 2026",True
172,Boulder,7,CG0013|CG0018|CG0019|CG0999|CG1000|CG7618|CG9999,Boulder|Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Statewide Conservation|Statewide Spot and Stalk,,True
475,"Panguitch Lake, Cottonwood",1,DA1006,"Panguitch Lake, Cottonwood",,True
476,"Panguitch Lake, Summit",1,DA1008,"Panguitch Lake, Summit",,True
52,"Manti, North",9,BR1000|BR1001|BR1007|BR1018|BR7003|BR7104|BR7203|BR7231|BR7303,"Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Manti, North|Manti-North","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|March 28 - May 25, 2026|May 25 - June 28, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
247,"West Desert, Tintic-Vernon",8,CG0017|CG0018|CG0019|CG0999|CG1000|CG7512|CG7602|CG9999,"Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Oquirrh-Stansbury and West Desert, Tintic-Vernon Conservation|Statewide Conservation|Statewide Spot and Stalk|West Desert, Tintic-Vernon",,True
280,Ogden Extended Archery Area,1,DB0008,Extended Archery Deer,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",False
432,"Panguitch Lake, Panguitch Valley",1,DA1007,"Panguitch Lake, Panguitch Valley",,True
448,"Wasatch Mtns, West-Central",7,BR1000|BR1006|BR1007|BR1018|BR7120|BR7221|BR7316,"Black Bear - Statewide Permit|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Wasatch Mtns, West-Central","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|May 25 - June 28, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",True
456,Cache/East Canyon/Morgan-South Rich/Ogden,7,BR1000|BR1007|BR1018|BR7002|BR7103|BR7202|BR7302,Black Bear - Statewide Permit|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Cache/East Canyon/Morgan-South Rich/Ogden,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",True
457,"Chalk Creek/Kamas/North Slope, Summit",6,BR1000|BR1007|BR1018|BR7006|BR7107|BR7206,"Black Bear - Statewide Permit|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Chalk Creek/Kamas/North Slope, Summit","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",True
462,Panguitch Lake/Zion,8,BR1000|BR1001|BR1007|BR1018|BR7010|BR7112|BR7213|BR7309,Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Panguitch Lake/Zion,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|March 28 - May 25, 2026|May 25 - June 28, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
