hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,has_permit_value,permit_count_status,hunt_code_mapping_status,boundary_id,boundary_id_mapping_status,source_role,source_file,source_row_number
BR1015,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,7,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,11
BR1016,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,710,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,12
BR1017,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,684,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,13
BR1018,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,false,NO_PUBLISHED_NUMERIC_PERMIT,REVIEWED_CURRENT_HUNT_CODE,5013,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,14
BR7000,Beaver,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,1,10,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,628,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,15
BR7001,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",49,5,54,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,449,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,16
BR7003,Manti North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",17,2,19,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,52,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,17
BR7004,Manti South/San Rafael North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",18,0,18,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,744,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,18
BR7005,Nebo,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,616,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,19
BR7007,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,88,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,20
BR7009,Mt Dutton,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,630,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,21
