year,title,url,official_basename,download_path,http_status,content_type,size_bytes,sha256
2022,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2022/22_youth_dh_odds.pdf,22_youth_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_youth_dh_odds.pdf,200,application/pdf,369713,98d0744a0edcee59b1c4fc3e1d650f507be4a43a366fb799b2ba56b104b92013
2022,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2022/22-23_sportsman_odds.pdf,22-23_sportsman_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22-23_sportsman_odds.pdf,200,application/pdf,123222,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a
2021,General-season buck deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_deer_odds.pdf,21_deer_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_deer_odds.pdf,200,application/pdf,1455208,62242a4ec4388fad44a7d11c8a2f83ba0990e43200ca1a5acb14cd2922367b12
2021,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_lifetime_deer.pdf,21_lifetime_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_lifetime_deer.pdf,200,application/pdf,1340616,dccae526f74f9ca351886caee7c33e58a91d42c080e921f039b32dfb27b30d52
2021,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_bull_elk.pdf,21_youth_bull_elk.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_youth_bull_elk.pdf,200,application/pdf,88950,cd8113b3723fa82e291cff1d9e5ebdfd4a02afdb4604d3d95cacfc6ed10de341
2021,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_deer.pdf,21_youth_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_youth_deer.pdf,200,application/pdf,1400527,2ed8ce58ca60c1d17aa691f1d299501346e2deb8f709b9ce7349e4f57369d282
2021,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2021/21_bg-odds.pdf,21_bg-odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_bg-odds.pdf,200,application/pdf,10570345,2d4a5927fcb8b6ff4daf13ee551eb3c343edf4c0464d4541ea670cab8c5200f2
2021,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2021/21_antlerless_drawing_odds_report.pdf,21_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_antlerless_drawing_odds_report.pdf,200,application/pdf,2872574,a701e8c4c410c76b6588bdf856ec9d096e6d9661f3588824cd4a62728eb613da
2021,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_antlerless_drawing_odds_report.pdf,21_youth_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_youth_antlerless_drawing_odds_report.pdf,200,application/pdf,2600042,b8dbb516e97fb2acbad1dec86197f47e9b37e616d856cea576ded8eb16f59a73
2021,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_dh_odds.pdf,21_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_dh_odds.pdf,200,application/pdf,531895,5243be59fe26f4523f9d741d010bea30d881adbc18ef230cf25b54d5ef2e4f02
