actual_draw_year,model_target_year,hunt_code,residency,points,record_type,source_file
2026,2027,DB1543,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1543,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1544,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1544,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1544,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1544,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1544,Resident,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Nonresident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Nonresident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1546,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Nonresident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Nonresident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1547,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1549,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1549,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1549,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1549,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1549,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1549,Resident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1551,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1551,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1551,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1551,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1551,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Nonresident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Resident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Resident,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1552,Resident,6,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1553,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1553,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1553,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1553,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1553,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1554,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1554,Nonresident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1554,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1554,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1554,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1555,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1555,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1555,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1555,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1555,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1555,Resident,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1556,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1556,Nonresident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1556,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1556,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1556,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1556,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1559,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1559,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1559,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1559,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1559,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1559,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1561,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1561,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1563,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1563,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1563,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1564,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1566,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1566,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1566,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1568,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1569,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1569,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1569,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1570,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1570,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1571,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1571,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1571,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1571,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1572,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1573,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
