year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,applicants_total,bonus_permits,regular_permits,permits_total,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page
2021,2022,DB1024,"Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,2876,57,57,114,1 in 25.2,3.96825397,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,25
2021,2022,DB1024,"Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,612,6,6,12,1 in 51.0,1.96078431,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,25
2021,2022,DB1025,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,721,23,22,45,1 in 16.0,6.25,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,26
2021,2022,DB1025,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,239,2,2,4,1 in 59.8,1.6722408,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,26
2021,2022,DB1026,"Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,519,7,6,13,1 in 39.9,2.50626566,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,27
2021,2022,DB1026,"Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,105,1,1,2,1 in 52.5,1.9047619,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,27
2021,2022,DB1027,Limited-entry Muzzleloader Buck Deer - Chalk Creek/east Canyon/morgan-south Rich - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,205,18,18,36,1 in 5.7,17.54385965,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,28
2021,2022,DB1027,Limited-entry Muzzleloader Buck Deer - Chalk Creek/east Canyon/morgan-south Rich - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,8,2,2,4,1 in 2.0,50,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,28
2021,2022,DB1028,Limited-entry Muzzleloader Buck Deer - Fillmore - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,72,2,2,4,1 in 18.0,5.55555556,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,29
2021,2022,DB1028,Limited-entry Muzzleloader Buck Deer - Fillmore - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,35,0,1,1,1 in 35.0,2.85714286,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,29
2021,2022,DB1029,"Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,485,3,3,6,1 in 80.8,1.23762376,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,30
2021,2022,DB1029,"Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,316,0,1,1,1 in 316.0,0.3164557,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,30
2021,2022,DB1030,Limited-entry Muzzleloader Buck Deer - Kamas - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,30,7,6,13,1 in 2.3,43.47826087,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,31
2021,2022,DB1030,Limited-entry Muzzleloader Buck Deer - Kamas - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,6,0,1,1,1 in 6.0,16.66666667,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,31
2021,2022,DB1031,"Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,139,2,2,4,1 in 34.8,2.87356322,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,32
2021,2022,DB1031,"Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,32
2021,2022,DB1032,Limited-entry Muzzleloader Buck Deer - Monroe - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,36,2,2,4,1 in 9.0,11.11111111,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,33
2021,2022,DB1032,Limited-entry Muzzleloader Buck Deer - Monroe - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,10,0,1,1,1 in 10.0,10,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,33
2021,2022,DB1033,Limited-entry Muzzleloader Buck Deer - Nine Mile - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,65,4,3,7,1 in 9.3,10.75268817,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,34
2021,2022,DB1033,Limited-entry Muzzleloader Buck Deer - Nine Mile - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,7,0,1,1,1 in 7.0,14.28571429,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,34
2021,2022,DB1034,Limited-entry Muzzleloader Buck Deer - Pine Valley - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,280,9,8,17,1 in 16.5,6.06060606,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,35
2021,2022,DB1034,Limited-entry Muzzleloader Buck Deer - Pine Valley - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,169,1,1,2,1 in 84.5,1.18343195,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,35
2021,2022,DB1036,"Limited-entry Muzzleloader Buck Deer - Plateau, Thousand Lakes - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,30,2,2,4,1 in 7.5,13.33333333,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,36
2021,2022,DB1036,"Limited-entry Muzzleloader Buck Deer - Plateau, Thousand Lakes - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,4,0,1,1,1 in 4.0,25,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,36
2021,2022,DB1037,"Limited-entry Muzzleloader Buck Deer - San Juan, Elk Ridge - Muzzleloader",ELK,L.E.,BONUS_POINT,Resident,314,5,5,10,1 in 31.4,3.18471338,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,37
2021,2022,DB1037,"Limited-entry Muzzleloader Buck Deer - San Juan, Elk Ridge - Muzzleloader",ELK,L.E.,BONUS_POINT,Nonresident,171,0,1,1,1 in 171.0,0.58479532,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,37
