year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,point_level,applicants,bonus_permits,regular_permits,permits,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page,point_label
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,10,25,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,10,31,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,9,27,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,9,28,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,8,34,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,8,40,0,1,1,1 in 40.0,2.5,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,7,26,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,7,38,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,6,25,0,1,1,1 in 25.0,4,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,6,34,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,5,36,0,1,1,1 in 36.0,2.77777778,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,5,53,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,4,32,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,4,69,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,3,45,0,1,1,1 in 45.0,2.22222222,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,3,62,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
