"source","year","title","status","bytes","file","url","error"
"utah_wildlife_biggame_odds_archive","2022","Youth antlerless big game draw results","ok","2454255","older_years_biggame_odds/2022/22_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Youth draw-only elk bonus point draw results","ok","89441","older_years_biggame_odds/2022/22_youth_bull_elk__dup2.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Dedicated Hunter deer draw results","ok","532488","older_years_biggame_odds/2022/22_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Youth Dedicated Hunter deer draw results","ok","369713","older_years_biggame_odds/2022/22_youth_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_youth_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Sportsman draw odds report","ok","123222","older_years_biggame_odds/2022/22-23_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2022/22-23_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2021","General-season buck deer draw results","ok","1455208","older_years_biggame_odds/2021/21_deer_odds.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_deer_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Lifetime general-season deer draw results","ok","1340616","older_years_biggame_odds/2021/21_lifetime_deer.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_lifetime_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Youth draw-only elk bonus point draw results","ok","88950","older_years_biggame_odds/2021/21_youth_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Youth general-season deer draw results","ok","1400527","older_years_biggame_odds/2021/21_youth_deer.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_youth_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Big game limited-entry & once-in-a-lifetime draw results","ok","10570345","older_years_biggame_odds/2021/21_bg-odds.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_bg-odds.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Antlerless big game draw results","ok","2872574","older_years_biggame_odds/2021/21_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Youth antlerless big game draw results","ok","2600042","older_years_biggame_odds/2021/21_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Youth draw-only elk bonus point draw results","ok","88950","older_years_biggame_odds/2021/21_youth_bull_elk__dup2.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Dedicated Hunter deer draw results","ok","531895","older_years_biggame_odds/2021/21_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Youth Dedicated Hunter deer draw results","ok","342992","older_years_biggame_odds/2021/21_youth_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2021/21_youth_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2021","Sportsman draw odds report","ok","156728","older_years_biggame_odds/2021/21-22_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2021/21-22_sportsman_odds.pdf",""
