page,hunt_code,raw_before_code,raw_after_code,raw_line
36,EA1163,Scofield West,Carbon 19,Scofield West EA1163 Carbon 19
36,EA1235,Sharp Mountain,Cache 10,Sharp Mountain EA1235 Cache 10
36,EA1164,SJ Ranch,Cache 6,SJ Ranch EA1164 Cache 6
36,EA1165,Skull Crack,Weber 15,Skull Crack EA1165 Weber 15
36,EA1166,Soldier Summit,Utah 16,Soldier Summit EA1166 Utah 16
36,EA1167,South Canyon,Cache 12,South Canyon EA1167 Cache 12
36,EA1168,Spring Creek/Dodge,San Juan 15,Spring Creek/Dodge EA1168 San Juan 15
36,EA1170,Strawberry Ridge,Rich 10,Strawberry Ridge EA1170 Rich 10
36,EA1171,Summit Point,San Juan 5,Summit Point EA1171 San Juan 5
36,EA1301,The Dirty Dozen,Uintah 10,The Dirty Dozen EA1301 Uintah 10
37,EA1172,Three C,Wasatch 9,Three C EA1172 Wasatch 9
37,EA1257,Tunnel Hollow,Morgan 5,Tunnel Hollow EA1257 Morgan 5
37,EA1175,Wallsburg,Wasatch 10,Wallsburg EA1175 Wasatch 10
37,EA1263,Weber Florence Creek/Stillman Creek,Summit 35,Weber Florence Creek/Stillman Creek EA1263 Summit 35
37,EA1260,West Ridge,Carbon 5,West Ridge EA1260 Carbon 5
37,EA1177,Woodruff Creek South,Rich 8,Woodruff Creek South EA1177 Rich 8
37,PD1047,Antelope Creek,Duchesne 6,Antelope Creek PD1047 Duchesne 6
37,PD1050,Cottonwood Ridge,Duchesne 6,Cottonwood Ridge PD1050 Duchesne 6
37,PD1011,Deseret,Rich 40,Deseret PD1011 Rich 40
37,PD1053,Green River Flat,Grand 6,Green River Flat PD1053 Grand 6
37,PD1041,Heist,Iron 6,Heist PD1041 Iron 6
37,PD1026,Pahvant Ensign,Millard 6,Pahvant Ensign PD1026 Millard 6
37,PD1048,The Rose of Snowville,Box Elder 2,The Rose of Snowville PD1048 Box Elder 2
37,PD1031,Westlake,Utah 9,Westlake PD1031 Utah 9
37,PD1016,Zane,Iron 6,Zane PD1016 Iron 6
37,MA1011,Beaver Hollow,Morgan 1,Beaver Hollow MA1011 Morgan 1
37,MA1010,Deseret,Rich 2,Deseret MA1010 Rich 2
