hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
DB1557,"Hunt: DB1557 West Desert, Tintic - Any Legal Weapon Page 56","West Desert, Tintic",west desert tintic,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,56
DB1558,"Hunt: DB1558 West Desert, West - Any Legal Weapon Page 57","West Desert, West",west desert west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,57
DB1559,Hunt: DB1559 Zion - Any Legal Weapon Page 58,Zion,zion,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,58
DB1560,Hunt: DB1560 Beaver - Muzzleloader Page 59,Beaver,beaver,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,59
DB1561,Hunt: DB1561 Box Elder - Muzzleloader Page 60,Box Elder,box elder,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,60
DB1562,Hunt: DB1562 Cache - Muzzleloader Page 61,Cache,cache,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,61
DB1563,"Hunt: DB1563 Central Mtns, Manti/san Rafael - Muzzleloader Page 62","Central Mtns, Manti/san Rafael",central mtns manti san rafael,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,62
DB1564,"Hunt: DB1564 Central Mtns, Nebo - Muzzleloader Page 63","Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,63
DB1565,Hunt: DB1565 Chalk Creek/east Canyon/morgan-south Rich - Muzzleloader Page 64,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,64
DB1566,Hunt: DB1566 Fillmore - Muzzleloader Page 65,Fillmore,fillmore,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,65
DB1568,Hunt: DB1568 Kamas - Muzzleloader Page 66,Kamas,kamas,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,66
DB1569,"Hunt: DB1569 La Sal, La Sal Mtns - Muzzleloader Page 67","La Sal, La Sal Mtns",la sal la sal mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,67
DB1570,Hunt: DB1570 Monroe - Muzzleloader Page 68,Monroe,monroe,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,68
DB1571,Hunt: DB1571 Mt Dutton - Muzzleloader Page 69,Mt Dutton,mt dutton,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,69
DB1572,Hunt: DB1572 Nine Mile - Muzzleloader Page 70,Nine Mile,nine mile,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,70
DB1573,Hunt: DB1573 North Slope - Muzzleloader Page 71,North Slope,north slope,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,71
DB1574,Hunt: DB1574 Ogden - Muzzleloader Page 72,Ogden,ogden,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,72
