hunt_code,prefix,source_count,sources
BR7318,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7320,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7321,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7322,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7323,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7324,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7325,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7326,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
CG9999,CG,3,2026 COUGAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx; 2026_COUGAR.xlsx; MASTER.xlsx
DA1001,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1002,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1003,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1009,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1011,DA,4,2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; 2026_DEER_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
DA1012,DA,4,2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; 2026_DEER_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
DA1013,DA,4,2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; 2026_DEER_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
DA1018,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1027,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1030,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1031,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1033,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1041,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1042,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1044,DA,1,MASTER.xlsx
DA1045,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1046,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1047,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1048,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1049,DA,3,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_DEER_ANTLERLESS.xlsx; MASTER.xlsx
DA1050,DA,4,2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_DEER_ANTLERLESS.xlsx; 2026_DEER_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
DB0001,DB,3,2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0002,DB,3,2026 DEER BUCK TRIBAL ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0003,DB,3,2026 DEER BUCK TRIBAL MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0004,DB,3,2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0005,DB,3,2026 DEER BUCK TRIBAL ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0006,DB,3,2026 DEER BUCK TRIBAL MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0007,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK STATEWIDE ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_STATEWIDE.xlsx; MASTER.xlsx
DB0008,DB,5,2026 DEER HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx; 2026_DEER_ARCHERY_EXTENDED.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_HUNTER_CHOICE.xlsx; MASTER.xlsx
DB0009,DB,4,2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB0010,DB,3,2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0011,DB,3,2026 DEER BUCK TRIBAL ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0012,DB,3,2026 DEER BUCK TRIBAL MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB0013,DB,3,2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; MASTER.xlsx
DB1000,DB,4,2026 DEER BUCK P.L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1001,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK P.L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1002,DB,4,2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1003,DB,4,2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1004,DB,4,2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1005,DB,4,2026 DEER BUCK P.L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1006,DB,4,2026 DEER BUCK P.L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1007,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK P.L.E MULTISEASON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1008,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK P.L.E MULTISEASON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1009,DB,4,2026 DEER BUCK MANAGEMENT BUCK DEER ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY_MANAGEMENT_BUCK.xlsx; MASTER.xlsx
DB1010,DB,4,2026 DEER BUCK MANAGEMENT BUCK DEER ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY_MANAGEMENT_BUCK.xlsx; MASTER.xlsx
DB1011,DB,4,2026 DEER BUCK L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1012,DB,4,2026 DEER BUCK L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1013,DB,4,2026 DEER BUCK L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1014,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1015,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1016,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E ARCHERY.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1017,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1018,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
