year,family,title,url,official_basename
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2012_turkey_bonus_points.pdf,2012_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2012_turkey_drawing_odds.pdf,2012_turkey_drawing_odds.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2011_turkey_bonus_points.pdf,2011_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2011_turkey_drawing_odds.pdf,2011_turkey_drawing_odds.pdf
,TURKEY,Harvest results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2011_turkey_harvest_results.pdf,2011_turkey_harvest_results.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2010_turkey_bonus_points.pdf,2010_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2010_turkey_drawing_odds.pdf,2010_turkey_drawing_odds.pdf
,TURKEY,Harvest results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2010_turkey_harvest_results.pdf,2010_turkey_harvest_results.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2009_turkey_bonus_points.pdf,2009_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2009_turkey_draw_odds.pdf,2009_turkey_draw_odds.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2008_turkey_bonus_points.pdf,2008_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2008_turkey_draw_odds.pdf,2008_turkey_draw_odds.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2007_turkey_bonus_points.pdf,2007_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2007_turkey_draw_odds.pdf,2007_turkey_draw_odds.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2005_turkey_draw_odds.pdf,2005_turkey_draw_odds.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2004_turkey_draw_odds.pdf,2004_turkey_draw_odds.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2003_turkey_draw_odds.pdf,2003_turkey_draw_odds.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2002_turkey_draw_odds.pdf,2002_turkey_draw_odds.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2001_turkey_draw_odds.pdf,2001_turkey_draw_odds.pdf
