hunt_code,species,hunt_name,active_2026,harvest_quality_index,demand_pressure_signal,demand_pressure_category,point_creep_quality_adjustment,harvest_success_recent,harvest_success_3yr_avg,harvest_success_delta_1yr,harvest_success_trend_direction,hunter_satisfaction_recent,hunter_satisfaction_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,average_harvest_age_recent,average_harvest_age_3yr_reported,average_harvest_age_3yr_computed,average_age_recent,average_age_3yr_avg,percent_female_recent,percent_adult_male_recent,population_signal_recent,pursuit_pressure_recent,harvest_feature_source_years,harvest_feature_match_method,harvest_feature_data_quality_grade,harvest_feature_reason_codes
DB1231,Deer,Dove Creek,YES,87.985,71.64,HIGH_DEMAND_SIGNAL,0.1,90,91.9,4.3,INCREASING,4.7,4.65,4.6,3.367,9,11.333,10,12.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1269,Deer,North Promontory,YES,95.622,71.469,HIGH_DEMAND_SIGNAL,0.1,100,95.233,0,FLAT,4.7,4.55,2.5,2.367,6,6.333,6,6.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1239,Deer,Fort Ranch,YES,83.333,85.686,HIGH_DEMAND_SIGNAL,0.25,100,66.667,100,INCREASING,5,4.5,3,4.667,2,1,2,1.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1325,Deer,Double Cone,YES,56.783,33.662,LOW_DEMAND_SIGNAL,0,57.1,69.033,-9.6,DECREASING,1.8,3,3.5,3.8,4,4.667,7,6.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3515,Elk,Double Cone,YES,95.556,76.497,HIGH_DEMAND_SIGNAL,0.25,100,85.7,0,FLAT,5,4.15,4,4.033,7,6,7,7,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3545,Elk,Cactus Ranch LLC,YES,,,UNKNOWN_DEMAND_SIGNAL,0,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,NO_HARVEST_HISTORY,F,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|FALLBACK_BY_HUNT_NAME_SPECIES|FALLBACK_BY_UNIT_SPECIES|HUNT_CODE_NAME_OR_SPECIES_MISMATCH_REJECTED|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HARVEST_TOTAL|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|NO_PERCENT_SUCCESS|NO_USABLE_HARVEST_HISTORY|NO_USABLE_QUALITY_COMPONENTS|SPECIES_WIDE_FALLBACK_PROHIBITED
DB1264,Deer,Mountain Meadow,YES,81.711,75.511,HIGH_DEMAND_SIGNAL,0.25,100,55.567,100,INCREASING,4.8,4.75,3.5,2.9,6,3,6,5.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1236,Deer,Engineer Springs,YES,84.671,74.433,HIGH_DEMAND_SIGNAL,0.1,100,82.233,33.3,INCREASING,4,4.3,5,3.567,1,2.333,1,3,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1233,Deer,East Fork Chalk Creek,YES,76.264,77.301,HIGH_DEMAND_SIGNAL,0.25,77.5,66.067,13.9,INCREASING,4.3,4,6.4,6.967,31,26,40,39,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3517,Elk,East Fork Chalk Creek,YES,56.338,40.982,MODERATE_DEMAND_SIGNAL,0,50,65.433,-25.9,DECREASING,4.4,4.2,9.2,8.133,15,19.333,30,29.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
MB6208,Moose,East Fork Chalk Creek,YES,82.407,77.368,HIGH_DEMAND_SIGNAL,0.25,100,91.667,25,INCREASING,5,4.9,4.3,4.433,5,4.667,5,5,3.5,4.2,3.5,3.5,3.5,,,,,2021|2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,COMPUTED_3YR_HARVEST_AGE|DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|DWR_REPORTED_3YR_HARVEST_AGE|HARVEST_QUALITY_SIGNAL_ONLY|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1304,Deer,Two Bear,YES,92.133,83.475,HIGH_DEMAND_SIGNAL,0.25,100,81.867,10,INCREASING,4.4,4.25,3,3.833,10,8.333,10,10,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1237,Deer,Ensign Ranches,YES,90.995,65.527,HIGH_DEMAND_SIGNAL,0.1,90.3,92.433,-5.5,DECREASING,5,4.6,3.3,3.167,28,30.333,31,33,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3519,Elk,Ensign Ranches,YES,92.12,81.468,HIGH_DEMAND_SIGNAL,0.25,100,92.2,9.1,INCREASING,4.5,4.45,3.6,3.833,26,24.667,26,26.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1349,Deer,Weber Florence Creek,YES,79.199,81.971,HIGH_DEMAND_SIGNAL,0.25,76,65.8,20.4,INCREASING,4.6,4.6,3.5,3.85,57,31,75,42,,,,,,,,,,2024|2025,EXACT_HUNT_CODE_HISTORY,B,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
EB3619,Elk,Weber Florence Creek/Stillman Creek,YES,86.794,85.168,HIGH_DEMAND_SIGNAL,0.25,87.9,78.95,17.9,INCREASING,4.8,4.8,3.4,3.35,87,47,99,54.5,,,,,,,,,,2024|2025,EXACT_HUNT_CODE_HISTORY,B,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
MB6266,Moose,Weber Florence Creek,YES,84.574,69.614,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4.8,4.8,4,3.95,8,8.5,8,8.5,3.5,4.2,3.5,3.5,3.5,,,,,2024|2025,EXACT_HUNT_CODE_HISTORY,B,COMPUTED_3YR_HARVEST_AGE|DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|DWR_REPORTED_3YR_HARVEST_AGE|HARVEST_QUALITY_SIGNAL_ONLY|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
DB1242,Deer,Grass Valley/Clark Canyon,YES,83.604,79.931,HIGH_DEMAND_SIGNAL,0.25,91.2,69.2,37.7,INCREASING,4.5,4.25,3.7,4,93,78,102,115,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3521,Elk,Grass Valley/Clark Canyon,YES,78.625,76.647,HIGH_DEMAND_SIGNAL,0.25,75.3,66.467,13.7,INCREASING,4.4,4.25,3.8,4,70,61.333,93,92.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
MB6211,Moose,Grass Valley/Clark Canyon,YES,86.611,67.464,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4.8,4.75,1.8,2.267,8,8.667,8,8.667,3.5,4.2,3.5,3.5,3.5,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,COMPUTED_3YR_HARVEST_AGE|DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|DWR_REPORTED_3YR_HARVEST_AGE|HARVEST_QUALITY_SIGNAL_ONLY|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
DB1200,Deer,Alton,YES,87.541,71.902,HIGH_DEMAND_SIGNAL,0.1,90,87.133,4.3,INCREASING,4.7,4.8,5,4.567,18,18,20,20.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1201,Deer,Alton,YES,96.044,70.962,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4.8,4.9,2.6,3.2,5,5,5,5,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1334,Deer,Alton,YES,92.227,81.989,HIGH_DEMAND_SIGNAL,0.25,100,88.9,33.3,INCREASING,5,4.9,3,2.5,5,3.667,5,4,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3500,Elk,Alton,YES,85.156,70.308,HIGH_DEMAND_SIGNAL,0.1,80,78.333,0,FLAT,4.8,4.8,4,4.667,4,4,5,5,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1205,Deer,Bar J Ranch,YES,56.778,71.072,HIGH_DEMAND_SIGNAL,0.1,50,40,30,INCREASING,3.5,2.85,3.5,3.533,2,2.333,4,6.333,,,,,,,,,,2021|2023|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3501,Elk,Bar J Ranch,YES,96.222,76.575,HIGH_DEMAND_SIGNAL,0.25,100,90.9,0,FLAT,5,4.3,3.4,3.533,11,10.333,11,11.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1213,Deer,Boobe Hole,YES,62.626,68.765,HIGH_DEMAND_SIGNAL,0.1,44.4,33.967,6.9,INCREASING,4.1,3.55,4.1,4.1,8,6.333,18,18.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3505,Elk,Boobe Hole,YES,94.578,70.154,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4.9,4.85,4.4,3.5,16,16,16,16,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1243,Deer,Grazing Pasture,YES,70.273,71.658,HIGH_DEMAND_SIGNAL,0.1,70,42.767,45,INCREASING,4.7,4.7,5,5.433,7,3,10,5.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3522,Elk,Grazing Pasture,YES,95.222,71.046,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,5,4.75,4.3,4.633,5,5,5,5,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1255,Deer,Johnson Mtn Ranch,YES,40.278,24.248,LOW_DEMAND_SIGNAL,-0.1,0,33.333,-50,DECREASING,2.5,3,9.5,5.833,0,0.667,2,2,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3531,Elk,Johnson Mountain Ranch,YES,92.978,68.931,HIGH_DEMAND_SIGNAL,0.1,100,98.033,0,FLAT,4.6,4.7,4.4,3.733,15,17,15,17.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1266,Deer,Mt Carmel,YES,68.564,44.265,MODERATE_DEMAND_SIGNAL,0,66.7,63.733,-16.6,DECREASING,3.6,3.85,4.6,4.4,14,13,21,20.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1271,Deer,Oak Ranch,YES,75.142,79.949,HIGH_DEMAND_SIGNAL,0.25,75,46.367,44.2,INCREASING,5,3.95,4.8,4.233,3,3.667,4,10,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1272,Deer,Old Woman Plateau,YES,68.797,65.904,HIGH_DEMAND_SIGNAL,0.1,66.7,59.8,11.1,INCREASING,3.5,3.75,4.9,3.8,8,6.667,12,10.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3540,Elk,Old Woman Plateau,YES,97.222,78.81,HIGH_DEMAND_SIGNAL,0.25,100,96.667,0,FLAT,5,4.55,2.5,4.167,10,9.667,10,10,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
PB5315,Pronghorn,Zane,YES,41.444,29.739,LOW_DEMAND_SIGNAL,0,40,68.9,-60,DECREASING,2.4,3.05,2.4,2.967,2,3.333,5,5,3.8,4.1,3.8,3.8,3.8,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,COMPUTED_3YR_HARVEST_AGE|DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|DWR_REPORTED_3YR_HARVEST_AGE|HARVEST_QUALITY_SIGNAL_ONLY|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
DB1287,Deer,Scofield Canyons,YES,95.222,85.752,HIGH_DEMAND_SIGNAL,0.25,100,95.833,12.5,INCREASING,5,4.9,2.8,3.533,9,10,9,10.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3548,Elk,Scofield Canyons,YES,79.933,52.675,MODERATE_DEMAND_SIGNAL,0,75,87.5,-12.5,DECREASING,4.8,4.3,4.6,4.033,6,7,8,8,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3549,Elk,Scofield East,YES,92.444,80.444,HIGH_DEMAND_SIGNAL,0.25,100,91.667,12.5,INCREASING,5,4.8,5.3,3.967,8,7.333,8,8,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1288,Deer,Scofield West,YES,88.804,85.908,HIGH_DEMAND_SIGNAL,0.25,100,84.467,33.3,INCREASING,4.4,4.15,3.2,4.8,15,12.667,15,15,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3550,Elk,Scofield West,YES,93.373,85.823,HIGH_DEMAND_SIGNAL,0.25,100,84.267,22.2,INCREASING,5,4.5,3.3,3.867,10,8.333,10,9.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1279,Deer,Preston Nutter Ranch,YES,96.667,74.902,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,5,4.75,3,3.333,2,2,2,2,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3543,Elk,Preston Nutter Ranch,YES,73.2,73.271,HIGH_DEMAND_SIGNAL,0.1,60,55.2,21.1,INCREASING,5,5,3.1,3.367,12,10.333,20,19,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1283,Deer,Roan Cliffs,YES,76.754,75.884,HIGH_DEMAND_SIGNAL,0.25,72.7,71.833,15.6,INCREASING,4.4,4.2,4,4,8,6.333,11,9,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3546,Elk,Roan Cliffs,YES,90,79.176,HIGH_DEMAND_SIGNAL,0.25,100,95.833,12.5,INCREASING,5,4.7,7.5,5.867,9,9.333,9,9.667,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1216,Deer,Castle Valley Outdoors,YES,92.751,83.059,HIGH_DEMAND_SIGNAL,0.25,100,83.333,16.7,INCREASING,4.6,4.45,2.6,2.433,7,5.333,7,6,,,,,,,,,,2021|2023|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
PB5338,Pronghorn,Castle Valley Outdoors,YES,93.444,68.562,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4.5,4.4,3.5,2.367,4,3.333,4,3.333,,,,,,,,,,2021|2023|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1295,Deer,Spring Creek/Dodge,YES,88.3,66.494,HIGH_DEMAND_SIGNAL,0.1,89.3,91.367,-2.5,FLAT,4.5,4.35,3.3,3.4,50,49,56,54,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3555,Elk,Spring Creek/Dodge,YES,91.56,71.205,HIGH_DEMAND_SIGNAL,0.1,92.3,91.633,1.4,FLAT,4.9,4.85,3.7,3.367,12,12,13,13,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1299,Deer,Summit Point,YES,85.302,80.378,HIGH_DEMAND_SIGNAL,0.25,95.7,81.533,11.5,INCREASING,3.9,3.7,4.7,5,22,18.667,23,23,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3558,Elk,Summit Point,YES,84,58.353,MODERATE_DEMAND_SIGNAL,0,100,100,0,FLAT,4.5,4.75,16,10.767,4,4,4,4,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1282,Deer,Redd Ranches,YES,89.673,68.787,HIGH_DEMAND_SIGNAL,0.1,93.3,92.033,0,FLAT,4.4,4.55,3.6,4.267,14,16,15,17.333,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
EB3544,Elk,Redd Ranches,YES,93.32,81.68,HIGH_DEMAND_SIGNAL,0.25,100,93.733,11.1,INCREASING,4.9,4.95,4.2,3.933,19,18,19,19,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1253,Deer,Circle E Ranch,YES,92.724,83.282,HIGH_DEMAND_SIGNAL,0.25,100,77.367,42.9,INCREASING,5,5,1.4,2.433,7,4.667,7,6,,,,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
