source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_BUCK_DRAW.xlsx,Sheet,Diamond Mtn,DB1038,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,22,2,24,MAX / RANDOM DRAW,91.3,,,3.6
2026_DEER_BUCK_DRAW.xlsx,Sheet,Yellowstone,DB1039,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,MAX / RANDOM DRAW,100,,,5.1
2026_DEER_BUCK_DRAW.xlsx,Sheet,Southwest Desert,DB1040,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,MAX / RANDOM DRAW,60,,,7.4
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Wasatch Mtns, East",DB1041,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,30,3,33,MAX / RANDOM DRAW,63.3,,,5.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,"West Desert, Vernon",DB1042,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,46,5,51,MAX / RANDOM DRAW,88,,,4.6
2026_DEER_BUCK_DRAW.xlsx,Sheet,Zion,DB1043,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,15,2,17,MAX / RANDOM DRAW,46.7,,,6.4
2026_DEER_BUCK_DRAW.xlsx,Sheet,Book Cliffs,DB1044,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,MAX / RANDOM DRAW,100,,,15.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Fillmore, Oak Creek LE",DB1045,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,MAX / RANDOM DRAW,100,,,30.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,"San Juan, Elk Ridge",DB1046,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,MAX / RANDOM DRAW,66.7,,,20
2026_DEER_BUCK_DRAW.xlsx,Sheet,Diamond Mtn,DB1047,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",4,0,4,MAX / RANDOM DRAW,100,,,7.6
