source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_BULL_ALL.xlsx,Sheet,Cache Meadowville,EB3105,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",1,0,1,MAX / RANDOM DRAW,100,5.2,5.5,2
2026_ELK_BULL_ALL.xlsx,Sheet,Cache South,EB3107,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",1,0,1,MAX / RANDOM DRAW,100,7.2,6.7,50
2026_ELK_BULL_ALL.xlsx,Sheet,Manti,EB3108,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",18,2,20,MAX / RANDOM DRAW,73.9,6,6.3,13.3
2026_ELK_BULL_ALL.xlsx,Sheet,Fillmore Pahvant,EB3110,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,3,MAX / RANDOM DRAW,50,8,8.1,11
2026_ELK_BULL_ALL.xlsx,Sheet,La Sal Mtns,EB3111,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",5,0,5,MAX / RANDOM DRAW,100,6.3,6.2,10.4
2026_ELK_BULL_ALL.xlsx,Sheet,Monroe,EB3112,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",2,0,2,MAX / RANDOM DRAW,100,8.3,8.3,23
2026_ELK_BULL_ALL.xlsx,Sheet,Mt Dutton,EB3113,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,3,MAX / RANDOM DRAW,66.7,8,7.8,12.3
2026_ELK_BULL_ALL.xlsx,Sheet,North Slope Three Corners,EB3115,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,1,MAX / RANDOM DRAW,100,4.8,5.3,10.5
2026_ELK_BULL_ALL.xlsx,Sheet,Panguitch Lake,EB3117,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",2,0,2,MAX / RANDOM DRAW,66.7,7.9,7.8,11.5
2026_ELK_BULL_ALL.xlsx,Sheet,Fishlake/Thousand Lakes,EB3120,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",10,1,11,MAX / RANDOM DRAW,69.2,6.6,7.1,19.8
2026_ELK_BULL_ALL.xlsx,Sheet,San Juan Bull Elk,EB3121,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",4,0,4,MAX / RANDOM DRAW,100,7.9,7.9,14
2026_ELK_BULL_ALL.xlsx,Sheet,Diamond Mtn,EB3122,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,3,MAX / RANDOM DRAW,100,7.1,7.3,8.3
2026_ELK_BULL_ALL.xlsx,Sheet,Wasatch Mtns,EB3124,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",15,2,17,MAX / RANDOM DRAW,66.7,5.2,5.3,14.9
2026_ELK_BULL_ALL.xlsx,Sheet,Manti,EB3126,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,175,20,195,MAX / RANDOM DRAW,69.2,6,6.3,6
